candidate_id,family,rule,leverage,body_bps,min_range_bps,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,wick_ratio,natr_window,natr_min_bps,natr_max_bps
body_structure_body_momentum_lev1p0_body_bps5_min_range_bps25,body_structure,body_momentum,1.0,5.0,25.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.9999982691768,-99.9999999996385,-99.99999992510867,-99.99327889308394,-99.9999999996385,41,-94.42844765830249,659,54486,73414.0,73.414,-100.0,1,,,,
range_structure_range_momentum_lev1p0_min_range_bps25,range_structure,range_momentum,1.0,,25.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999932787193,-99.9999999998503,-99.99999996254188,-99.99558871509136,-99.9999999998503,41,-94.60450732637858,694,53306,76656.0,76.656,-100.0,1,,,,
volatility_structure_high_vol_body_reversal_lev2p0_natr_window192_natr_min_bps50_body_bps5,volatility_structure,high_vol_body_reversal,2.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99999999255357,-97.91612882532789,-99.99672460481746,-99.68435722703572,-96.54364704489464,-99.99672460481746,41,-94.71110053059148,0,7665,24780.0,24.78,-100.0,1,,192.0,50.0,
range_structure_range_momentum_lev2p0_min_range_bps50,range_structure,range_momentum,2.0,,50.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99984495986467,-99.99999997779709,-99.99988828594286,-99.94745475132531,-99.99999997779709,41,-94.78495780165436,128,22746,56096.0,56.096000000000004,-100.0,1,,,,
volatility_structure_high_vol_body_reversal_lev1p0_natr_window60_natr_min_bps25_body_bps5,volatility_structure,high_vol_body_reversal,1.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999968009791,-99.99999999993227,-99.99999983578896,-99.98986869410354,-99.99999999993227,41,-94.87163159517381,332,52092,79144.0,79.14399999999999,-100.0,1,,60.0,25.0,
volatility_structure_high_vol_body_reversal_lev1p0_natr_window192_natr_min_bps25_body_bps5,volatility_structure,high_vol_body_reversal,1.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999987685172,-99.99999999998897,-99.99999991337455,-99.99279038715699,-99.99999999998897,41,-95.04477761013267,223,55253,83204.0,83.20400000000001,-100.0,1,,192.0,25.0,
volatility_structure_high_vol_body_momentum_lev1p0_natr_window14_natr_min_bps25_body_bps5,volatility_structure,high_vol_body_momentum,1.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999713421552,-99.99999999972887,-99.9999996571324,-99.9903221468776,-99.99999999972887,41,-95.05703203627142,455,46618,71402.0,71.402,-100.0,1,,14.0,25.0,
body_structure_body_reversal_lev1p0_body_bps5_min_range_bps0,body_structure,body_reversal,1.0,5.0,0.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999999855,-99.99999999999984,-99.99999999999889,-99.99980347846866,-99.99999999999984,41,-95.41149372320004,1716,77868,114119.0,114.119,-100.0,1,,,,
body_structure_body_momentum_lev1p0_body_bps10_min_range_bps0,body_structure,body_momentum,1.0,10.0,0.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.9999999918338,-99.99999999998838,-99.99999999979417,-99.99879277366686,-99.99999999998838,41,-95.54883392353581,1159,69529,89421.0,89.421,-100.0,1,,,,
wick_structure_wick_reversal_lev2p0_wick_ratio0p55_min_range_bps0,wick_structure,wick_reversal,2.0,,0.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999999918,-99.99999999999865,-99.99999999997513,-99.99967723941744,-99.99999999999918,41,-95.56727878375965,1040,47183,100720.0,100.72,-100.0,1,0.55,,,
