action,hype_target,btc_target,hold_bars,trade_log_return,trade_return_pct,trade_max_drawdown_pct,event_timestamp,month,event_index
hype_momentum,-4.0,0.0,192,0.6163720547623354,85.2196171521937,-9.088220722048678,2026-01-18 19:45:00+00:00,2026-01,25231
hype_momentum,-4.0,0.0,64,0.1735863496226082,18.95634006856084,-13.484238309046626,2026-01-20 20:00:00+00:00,2026-01,25424
hype_momentum,4.0,0.0,192,0.12944801801450645,13.819994403199853,-20.953384527220496,2026-01-21 15:45:00+00:00,2026-01,25503
hype_momentum,4.0,0.0,96,0.1042480065944929,10.987567727272296,-8.309777114553352,2026-01-23 16:00:00+00:00,2026-01,25696
hype_reversal,4.0,0.0,192,1.1183569324446136,205.98225755736883,-12.860425481443915,2026-01-25 19:15:00+00:00,2026-01,25901
hype_momentum,4.0,0.0,64,0.6577514067454353,93.04466610668247,-13.892882779980908,2026-01-27 19:30:00+00:00,2026-01,26094
hype_reversal,-4.0,0.0,192,0.3987347205317086,48.9938316132615,-29.579367475495232,2026-01-28 11:45:00+00:00,2026-01,26159
btc_reversal,0.0,-4.0,192,0.20835520651787112,23.16505821728887,-9.506116842852885,2026-01-30 12:00:00+00:00,2026-01,26352
hype_reversal,4.0,0.0,192,0.8096249813490474,124.70651373078371,-24.428152848166295,2026-02-01 13:45:00+00:00,2026-02,26551
btc_momentum,0.0,-4.0,192,0.4574698962169027,58.007117930455564,-17.64016314008051,2026-02-03 14:00:00+00:00,2026-02,26744
pair_rv_reversal,4.0,-2.0,64,0.4122651234214261,51.02347818684358,-20.46393927588851,2026-02-05 14:15:00+00:00,2026-02,26937
btc_reversal,0.0,4.0,64,0.3664457015476151,44.25980675811498,-8.196000105417877,2026-02-06 06:45:00+00:00,2026-02,27003
pair_rv_reversal,4.0,-2.0,32,0.26573962924953926,30.43953880626118,-6.486883971881197,2026-02-07 01:30:00+00:00,2026-02,27078
btc_momentum,0.0,4.0,96,0.07538454654442732,7.829872721698639,-4.31345246707171,2026-02-07 16:30:00+00:00,2026-02,27138
hype_reversal,-4.0,0.0,192,0.3581239513267101,43.06429395806115,-14.50240788224324,2026-02-08 19:15:00+00:00,2026-02,27245
hype_reversal,-4.0,0.0,64,0.15764690894777172,17.075273940162596,-19.66830021111936,2026-02-12 02:45:00+00:00,2026-02,27563
btc_reversal,0.0,4.0,192,0.2320747561798992,26.121400884561517,-6.805818046935441,2026-02-12 19:15:00+00:00,2026-02,27629
hype_reversal,-4.0,0.0,192,0.3358813247887624,39.91729678101876,-11.08263200869548,2026-02-16 23:45:00+00:00,2026-02,28031
hype_reversal,-4.0,0.0,192,0.16873721237704614,18.380900768987907,-8.627161012961382,2026-02-20 18:45:00+00:00,2026-02,28395
hype_momentum,-4.0,0.0,96,0.22069335997122896,24.694100990716716,-16.014951640251596,2026-02-23 01:45:00+00:00,2026-02,28615
btc_momentum,0.0,4.0,16,0.1550141027378965,16.767442839541992,-0.7597374446287164,2026-02-25 14:15:00+00:00,2026-02,28857
hype_reversal,-4.0,0.0,96,0.32161323940963416,37.935119409752915,-9.629019538633688,2026-02-27 04:00:00+00:00,2026-02,29008
hype_reversal,4.0,0.0,96,0.6575272944977443,93.00140728025401,-11.913062384378858,2026-02-28 06:45:00+00:00,2026-02,29115
hype_momentum,4.0,0.0,192,0.19888849598247044,22.004591829362585,-27.73477657321125,2026-03-01 07:00:00+00:00,2026-03,29212
btc_reversal,0.0,4.0,192,0.3082252239670574,36.10074859257957,-10.614895408001834,2026-03-03 09:00:00+00:00,2026-03,29412
btc_momentum,0.0,-4.0,192,0.19028802387847316,20.95979405795425,-4.848706773260869,2026-03-05 18:45:00+00:00,2026-03,29643
hype_momentum,4.0,0.0,96,0.445738531525915,56.1643092711114,-10.374992452448616,2026-03-08 23:15:00+00:00,2026-03,29949
hype_momentum,4.0,0.0,192,0.1464515245908485,15.771880856526522,-15.854410043843236,2026-03-09 23:30:00+00:00,2026-03,30046
btc_reversal,0.0,4.0,96,0.10645157700196578,11.232406307566233,-6.046310019770019,2026-03-12 06:00:00+00:00,2026-03,30264
hype_momentum,-4.0,0.0,32,0.06900211848789539,7.143847897539035,-6.1124902768399,2026-03-13 08:45:00+00:00,2026-03,30371
btc_reversal,0.0,4.0,192,0.14143028957253162,15.192020061224598,-6.854237256398843,2026-03-14 15:45:00+00:00,2026-03,30495
hype_momentum,4.0,0.0,192,0.20184658079498777,22.366026072529355,-15.712297031499888,2026-03-16 20:45:00+00:00,2026-03,30707
btc_reversal,0.0,4.0,96,0.05325320500650978,5.469666578857102,-8.781253372730657,2026-03-19 08:30:00+00:00,2026-03,30946
hype_momentum,4.0,0.0,192,0.2350710566260337,26.499865207560404,-16.26105625135832,2026-03-23 13:30:00+00:00,2026-03,31350
btc_reversal,0.0,4.0,192,0.10897289439294651,11.513212359863756,-10.757769185546206,2026-03-30 19:15:00+00:00,2026-03,32045
hype_momentum,4.0,0.0,192,0.1505830275915606,16.251182165302435,-17.941008452047292,2026-04-07 22:30:00+00:00,2026-04,32826
hype_reversal,4.0,0.0,192,0.3497671194231834,41.873711380141486,-8.152344060018846,2026-04-12 04:15:00+00:00,2026-04,33233
pair_rv_reversal,4.0,-2.0,192,0.09302063101110379,9.748437724689097,-8.273268972964477,2026-04-14 14:00:00+00:00,2026-04,33464
btc_momentum,0.0,4.0,96,0.15879043338116572,17.209228952276966,-5.679989553532783,2026-04-16 17:45:00+00:00,2026-04,33671
hype_momentum,-4.0,0.0,192,0.22461338604449052,25.183864433348056,-8.257364819179536,2026-04-19 17:45:00+00:00,2026-04,33959
hype_reversal,-4.0,0.0,32,0.05495377031556069,5.64917722652738,-3.5407142547666415,2026-04-22 21:45:00+00:00,2026-04,34263
hype_momentum,-4.0,0.0,192,0.1063337536194374,11.219301301261563,-11.814021846402623,2026-04-28 09:30:00+00:00,2026-04,34790
hype_reversal,4.0,0.0,192,0.25967230159037646,29.650515436760028,-6.262054184257981,2026-04-30 10:45:00+00:00,2026-04,34987
hype_momentum,4.0,0.0,96,0.27282856695356417,31.367501820925025,-6.127637068268211,2026-05-04 16:00:00+00:00,2026-05,35392
btc_momentum,0.0,-4.0,192,0.08115586075467245,8.453992060480896,-4.821129800431656,2026-05-06 17:00:00+00:00,2026-05,35588
hype_momentum,-4.0,0.0,192,0.12372163192764278,13.170079777848454,-10.310582995082019,2026-05-09 16:00:00+00:00,2026-05,35872
hype_momentum,4.0,0.0,64,0.6343406175734512,88.57782823546361,-8.131328276313376,2026-05-14 12:00:00+00:00,2026-05,36336
hype_reversal,-4.0,0.0,192,0.3854372807953657,47.02570960867667,-15.533849065123562,2026-05-15 04:15:00+00:00,2026-05,36401
hype_momentum,4.0,0.0,192,0.4119978601740728,50.98312055493288,-18.948470659639117,2026-05-17 05:15:00+00:00,2026-05,36597
hype_momentum,4.0,0.0,192,0.6919869899347437,99.76809642714795,-29.263979407050613,2026-05-20 11:00:00+00:00,2026-05,36908
hype_reversal,-4.0,0.0,96,0.332241017902264,39.4088808384885,-11.620007289394408,2026-05-22 11:15:00+00:00,2026-05,37101
hype_reversal,4.0,0.0,192,0.5585897266213682,74.82053135870083,-18.022152391132316,2026-05-23 11:45:00+00:00,2026-05,37199
pair_rv_reversal,4.0,-2.0,96,0.1512967979233358,16.334188430346398,-26.15271662876111,2026-05-26 03:00:00+00:00,2026-05,37452
hype_reversal,-4.0,0.0,96,0.34189358549368193,40.76104993675176,-8.968482151257895,2026-05-27 06:30:00+00:00,2026-05,37562
hype_reversal,4.0,0.0,192,0.6032502606647405,82.805079649848,-17.66668644667697,2026-05-28 10:15:00+00:00,2026-05,37673
hype_momentum,4.0,0.0,16,0.05130588987580964,5.264483743956072,-4.446173417074261,2026-05-31 21:00:00+00:00,2026-05,38004
