confirm_bars,feature_set,max_depth,min_samples_leaf,hold_bars,leverage,trained_months,return_2025_pct,return_2026_pct,min_target_year_return_pct,max_drawdown_pct,losing_months,min_monthly_return_pct,trade_count,turnover,hard_pass_relaxed
1,event_micro_plus_time,4,8,32,1.0,11,-17.878963032236328,9.490166909520624,-17.878963032236328,-41.94040410968797,8,-20.460790562621344,215,429.0,False
2,event_micro_plus_time,4,8,32,1.0,11,-17.950901214092696,14.467916072369391,-17.950901214092696,-59.069209390388586,7,-21.076514717995764,211,419.0,False
2,event_micro_plus_time,6,8,32,1.0,11,-17.950901214092696,-6.374987123567177,-17.950901214092696,-62.12158072935134,7,-21.076514717995764,211,419.0,False
2,event_micro_plus_time,5,8,32,1.0,11,-17.950901214092696,-17.066090473309416,-17.950901214092696,-66.44694296649025,8,-21.076514717995764,211,419.0,False
1,event_micro,5,5,32,0.5,11,-18.011789212437012,-1.3161887028196873,-18.011789212437012,-31.71057444927091,7,-11.851127716454602,215,214.5,False
1,event_micro,6,5,32,0.5,11,-18.011789212437012,-6.87006753205538,-18.011789212437012,-31.801227488307006,8,-11.851127716454602,215,214.5,False
0,market_only,6,3,64,0.5,11,-6.748105056476139,-18.06872275396698,-18.06872275396698,-35.609485388694125,9,-16.486932906892882,196,195.5,False
2,event_micro_plus_time,4,3,32,1.0,11,-18.213345777057555,20.206979593736875,-18.213345777057555,-42.632217150915054,8,-13.768589801778297,211,419.0,False
2,market_only,3,8,32,1.0,11,-4.138303101760998,-18.308556735965244,-18.308556735965244,-50.08026072782139,6,-28.232945012535627,211,421.0,False
1,market_only,5,3,96,0.5,11,-6.184359583663035,-18.3210795851675,-18.3210795851675,-40.4254269384726,7,-13.098739372245516,173,170.5,False
4,market_only,2,3,96,0.5,11,-18.324170770377137,18.98049106978941,-18.324170770377137,-41.52312725696898,5,-28.878329294445194,168,166.5,False
1,market_only,6,3,32,0.5,11,-15.831038989297298,-18.379376237297073,-18.379376237297073,-38.13696356514038,9,-14.393650553296267,215,214.5,False
4,market_only,6,8,64,0.5,11,1.6030536827056574,-18.403742836115754,-18.403742836115754,-34.85199919273384,9,-16.46962741654082,190,188.5,False
2,market_only,2,8,64,0.5,11,4.270055421112073,-18.465118574908168,-18.465118574908168,-34.4041556300968,7,-22.447107806408262,198,197.5,False
1,event_micro_plus_time,2,8,96,1.0,11,-18.499813589103866,7.619771487723814,-18.499813589103866,-46.693265411691385,8,-24.01972721868009,173,343.0,False
0,event_micro,2,3,96,0.5,11,-18.525186004332795,36.04251228854791,-18.525186004332795,-33.90366804140569,6,-19.872992081105746,171,168.5,False
0,event_micro_plus_time,6,8,64,1.0,11,0.06637344669158107,-18.543095562065204,-18.543095562065204,-44.416424942859955,6,-30.009008293079763,196,391.0,False
0,market_only,6,5,96,2.0,11,-4.025223256226241,-18.564348740885272,-18.564348740885272,-80.60833628683295,7,-37.59163421443502,171,682.0,False
4,event_micro_plus_time,5,8,32,0.5,11,-18.590154002262093,2.272598192703823,-18.590154002262093,-29.486869577870213,8,-9.441017172767763,214,213.5,False
4,event_micro_plus_time,6,8,32,0.5,11,-18.590154002262093,-9.278586169980041,-18.590154002262093,-29.85029962543605,9,-9.441017172767763,214,213.5,False
1,event_micro_plus_time,6,8,32,1.0,11,-18.6400719202259,7.238606615394594,-18.6400719202259,-48.17203248742451,9,-20.485323720115332,215,429.0,False
1,event_micro_plus_time,5,8,32,1.0,11,-18.6400719202259,-16.891907827283205,-18.6400719202259,-54.769162574085804,7,-19.986238152179048,215,429.0,False
2,market_only,6,8,64,0.5,11,9.732564535316413,-18.692249597938147,-18.692249597938147,-33.243790510853245,7,-17.560164436760918,198,197.5,False
1,event_micro_plus_time,4,5,32,0.5,11,-18.70946131491129,9.52464415536256,-18.70946131491129,-25.80449362952113,9,-11.851127716454602,215,214.5,False
0,event_micro,3,3,64,0.5,11,-18.76966873620941,23.836863418019092,-18.76966873620941,-29.442199818518255,8,-15.453253827629165,196,195.5,False
2,event_micro,4,5,32,0.5,11,-18.771821560492718,-8.509887787033044,-18.771821560492718,-46.59454195200765,9,-11.161109145822723,211,209.5,False
1,market_only,5,8,32,0.5,11,-13.248573720822353,-18.879337808730657,-18.879337808730657,-44.007877012511855,9,-14.30831186888617,215,214.5,False
0,market_only,6,5,64,0.5,11,-15.154252559137015,-18.983182322738646,-18.983182322738646,-42.53019979094974,10,-15.69248819125535,196,195.5,False
0,event_micro,3,8,96,1.0,11,1.561116121844397,-18.997869683377488,-18.997869683377488,-62.7819578522933,6,-34.43493610895756,171,339.0,False
0,market_only,5,3,64,1.0,11,7.234974971698049,-19.022181446070853,-19.022181446070853,-49.07611335628164,7,-19.72692955785742,196,391.0,False
0,market_only,3,5,64,0.5,11,-8.836923547783048,-19.082631140593197,-19.082631140593197,-38.85057804450317,9,-15.69248819125535,196,195.5,False
2,event_micro,4,3,32,2.0,11,-11.215650569906376,-19.19051009904782,-19.19051009904782,-83.80482617752777,7,-30.417807009072074,211,838.0,False
4,event_micro_plus_time,3,8,64,0.5,11,-13.4251839237449,-19.22832876490599,-19.22832876490599,-41.65308496421842,9,-13.249816834906625,190,189.5,False
1,event_micro_plus_time,6,3,32,1.0,11,4.735741930591386,-19.25574356191503,-19.25574356191503,-46.90979218784225,5,-19.69241015052746,215,429.0,False
2,market_only,6,8,32,0.5,11,4.213697845971653,-19.278644613310036,-19.278644613310036,-37.191570218041356,8,-15.284561626900395,211,210.5,False
0,market_only,6,5,32,0.5,11,-4.64012922797642,-19.281821476010442,-19.281821476010442,-28.334426182937744,7,-11.592882987478193,214,213.5,False
1,event_micro_plus_time,3,8,32,2.0,11,-19.348215252009005,39.50004458845493,-19.348215252009005,-57.59736232269304,7,-26.703463844781396,215,858.0,False
1,event_micro_plus_time,6,3,64,1.0,11,-19.4471378847613,-14.122068772350726,-19.4471378847613,-57.74432502251059,7,-24.147253680424974,195,387.0,False
1,event_micro,2,5,64,1.0,11,-19.46217004699062,-16.39568711076742,-19.46217004699062,-64.84182212488598,8,-25.030291310227426,195,387.0,False
1,event_micro,6,3,64,1.0,11,-19.492719493005485,18.91627616492486,-19.492719493005485,-56.55662692845522,6,-22.40058504907236,195,387.0,False
2,market_only,6,3,96,0.5,11,15.209509958842915,-19.597058061681306,-19.597058061681306,-33.558836234497825,8,-9.563686261795212,173,172.5,False
0,market_only,6,3,32,1.0,11,4.722159289895078,-19.684111111488544,-19.684111111488544,-30.828556902356354,9,-12.0282364550362,214,427.0,False
2,market_only,2,3,32,0.5,11,-15.65693964224797,-19.705420987873723,-19.705420987873723,-42.23985655856664,9,-14.734964792654148,211,210.5,False
2,market_only,3,3,96,1.0,11,4.319206805846343,-19.835234762137567,-19.835234762137567,-55.4183346409866,9,-34.7341043184968,173,345.0,False
1,event_micro,2,8,96,0.5,11,-19.94231052829578,4.326005319403992,-19.94231052829578,-35.253724526038134,8,-12.833336199370404,173,171.5,False
1,event_micro,3,5,64,0.5,11,-19.94302822886006,34.481126626473866,-19.94302822886006,-27.66003428594529,7,-14.244756301781013,195,193.5,False
0,event_micro,4,3,64,1.0,11,-19.952563696614632,47.09313202862197,-19.952563696614632,-53.98342815319177,7,-30.5078925015836,196,391.0,False
1,market_only,6,8,32,0.5,11,-20.031897605912174,-19.763330774052392,-20.031897605912174,-46.476045085757924,9,-14.274492177958608,215,214.5,False
4,market_only,3,5,64,1.0,11,33.2489503826713,-20.07789361467819,-20.07789361467819,-47.02926497143268,8,-28.08898960929367,190,377.0,False
4,market_only,3,3,64,1.0,11,13.222811429104265,-20.07789361467819,-20.07789361467819,-47.66078233381097,8,-28.08898960929367,190,377.0,False
0,event_micro,2,5,96,1.0,11,-20.087447549540695,77.68346321781279,-20.087447549540695,-47.40760303272643,6,-22.709503230949025,171,337.0,False
