month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,miss_rate,seed
2025-08,0.09101474132181223,2.383401650663359,2.6107655005524655,-0.09712902545528657,32.2,12,9.528515109034807,-9.712902545528657,2C_miss0.02_seed2,2C,0.02,2
2025-09,0.05976242129193255,2.6105044370558024,2.7715476840039663,-0.10192151979435904,32.2,12,6.1584306755040785,-10.192151979435904,2C_miss0.02_seed2,2C,0.02,2
2025-10,0.1140690579660709,2.771270543092842,3.1064324725663695,-0.16468621952538975,51.9,16,12.082952441886373,-16.468621952538975,2C_miss0.02_seed2,2C,0.02,2
2025-11,0.20004930992724415,3.1061218448507577,3.7943922866255675,-0.10750447050114531,36.2,14,22.146298692623635,-10.75044705011453,2C_miss0.02_seed2,2C,0.02,2
2025-12,0.17030175358101537,3.794012866368234,4.498868930157896,-0.11251118499351631,32.2,12,18.56625752733738,-11.25111849935163,2C_miss0.02_seed2,2C,0.02,2
2026-01,0.10944515013232718,4.498419065758475,5.0192030517101935,-0.2098909446623689,68.3,13,11.565887551519282,-20.989094466236892,2C_miss0.02_seed2,2C,0.02,2
2026-02,0.2634090763370728,4.97593352111437,6.531784889694695,-0.2442711463198597,60.1,11,30.13589652383377,-24.42711463198597,2C_miss0.02_seed2,2C,0.02,2
2026-03,0.23835834324919064,6.531131743863561,8.28990563464177,-0.2925249695229706,36.0,12,26.91639076664769,-29.252496952297058,2C_miss0.02_seed2,2C,0.02,2
2026-04,0.18975958475467902,8.28907668552645,10.022155284724777,-0.09533914744419314,36.0,12,20.895891056278117,-9.533914744419313,2C_miss0.02_seed2,2C,0.02,2
2026-05,0.13330054833545787,10.02115311930541,11.45124799363243,-0.09502690556500881,32.2,12,14.259335126106066,-9.50269055650088,2C_miss0.02_seed2,2C,0.02,2
2026-06,0.37910887719669967,11.450102926087396,16.730068280886478,-0.2113058144879908,54.7,12,46.09820947192284,-21.13058144879908,2C_miss0.02_seed2,2C,0.02,2
2025-01,0.06586270102717974,0.9999000049998333,1.0680800608031016,-0.1755076110748066,50.2,12,6.808006080310158,-17.55076110748066,2C_miss0.02_seed3,2C,0.02,3
