scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders
4_cost0.0015_delay2,4,0.0015,0.003,2,True,279.0126762813233,240.0373708047753,240.0373708047753,1.032345034823301,0,10,1188.7847394438222,-34.287436594525175,29.448987538940806,809.8,228
4_cost0.0015_delay3,4,0.0015,0.003,3,True,245.51634480772185,246.69664594477206,245.51634480772185,2.319591020498235,0,10,1097.8935786393406,-47.99505053557156,31.919781931464176,1036.4,252
4_cost0.0020_delay0,4,0.002,0.004,0,True,251.55663806483867,168.73752129449792,168.73752129449792,1.4273968263418757,0,10,844.7645950817171,-32.73252560797606,29.890965732087228,829.8,232
4_cost0.0020_delay1,4,0.002,0.004,1,True,226.17205311280318,178.6352203681224,178.6352203681224,2.2023172895212495,0,10,808.8302189700897,-40.626925376418384,30.18302180685358,934.4000000000001,234
4_cost0.0020_delay2,4,0.002,0.004,2,True,201.7722403452273,183.8421551205976,183.8421551205976,1.4559818397099855,0,10,756.5568305516042,-38.746942281262875,30.202492211838006,907.4,234
4_cost0.0020_delay3,4,0.002,0.004,3,True,224.5253338600854,193.252438504919,193.252438504919,2.0576733128093494,0,10,851.6784551109324,-55.72329400201082,32.39291277258567,1072.4,252
4_cost0.0025_delay0,4,0.0025,0.005,0,True,293.3903840573967,146.15317054528253,146.15317054528253,3.664535418382986,0,10,868.3429029775475,-56.32505239257668,32.801791277258566,1051.8,256
4_cost0.0025_delay1,4,0.0025,0.005,1,True,218.30646168286648,154.83379136507378,154.83379136507378,1.7977652622410245,0,10,711.1524244664645,-53.03917941903473,32.7940031152648,1110.4,256
4_cost0.0025_delay2,4,0.0025,0.005,2,False,209.96796544722355,145.67721270172643,145.67721270172643,-1.4905440289534777,1,10,661.520657778989,-40.6760104269261,30.35436137071651,923.4,236
4_cost0.0025_delay3,4,0.0025,0.005,3,True,218.50007987778338,158.77397923050776,158.77397923050776,2.3610467880165187,0,10,724.1953305520859,-59.55338775192408,32.56814641744548,1072.4,252
