candidate_id,family,rule,leverage,lookback,threshold_bps,hard_pass_original_2025_2026_ytd,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,min_target_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,symbol
cross_section_long_strong_short_weak_lev2p0_lookback384_threshold_bps50,cross_section,long_strong_short_weak,2.0,384,50,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99999999976389,-99.82693222328213,-99.96116578514308,-99.97421030103649,-98.63781826692501,-99.97421030103649,-99.97421030103649,40,-73.54415696754377,466,25638,25640.0,25.64,-100.0,1,
cross_section_long_strong_short_weak_lev2p0_lookback384_threshold_bps100,cross_section,long_strong_short_weak,2.0,384,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99999999976389,-99.82693222328213,-99.96116578514308,-99.97421030103649,-98.63781826692501,-99.97421030103649,-99.97421030103649,40,-73.54415696754377,466,25638,25640.0,25.64,-100.0,1,
single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback96_threshold_bps100,single_symbol,symbol_reversal,4.0,96,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.999999999998,-99.97670629446188,-99.99699797068473,-99.98099659515411,-98.49666615091358,-99.99699797068473,-99.98099659515411,40,-82.50422832371582,127,8967,35968.0,35.968,-100.0,1,ETHUSDT
single_symbol_symbol_reversal_lev4p0_symbolBTCUSDT_lookback96_threshold_bps100,single_symbol,symbol_reversal,4.0,96,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99999999998835,-99.98273558457656,-99.99595745103441,-99.87102101991147,-98.7060256523162,-99.99595745103441,-99.87102101991147,40,-82.97917470412301,91,8188,32816.0,32.816,-100.0,1,BTCUSDT
single_symbol_symbol_momentum_lev4p0_symbolBNBUSDT_lookback96_threshold_bps100,single_symbol,symbol_momentum,4.0,96,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99989259407519,-99.99990435644774,-99.99943303443999,-98.3344778474735,-99.99990435644774,-99.99943303443999,40,-86.12488495707169,142,9415,37732.0,37.732,-100.0,1,BNBUSDT
single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback96_threshold_bps100,single_symbol,symbol_momentum,4.0,96,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99485683959941,-99.99954041784844,-99.99983842199269,-99.24824502251879,-99.99983842199269,-99.99983842199269,40,-87.99773489673403,127,8967,35968.0,35.968,-100.0,1,ETHUSDT
single_symbol_symbol_momentum_lev4p0_symbolBTCUSDT_lookback96_threshold_bps50,single_symbol,symbol_momentum,4.0,96,50,False,False,"['2023-01', '2023-02', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99914204538027,-99.99988765937628,-99.99998501779636,-97.96038222759809,-99.99998501779636,-99.99998501779636,40,-88.33800952991243,166,10074,40856.0,40.855999999999995,-100.0,1,BTCUSDT
single_symbol_symbol_reversal_lev4p0_symbolBNBUSDT_lookback16_threshold_bps100,single_symbol,symbol_reversal,4.0,16,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.98380581728037,-99.9999738316597,-99.99977040599258,-99.45804187459989,-99.9999738316597,-99.99977040599258,40,-92.19284904933276,78,11654,46728.0,46.728,-100.0,1,BNBUSDT
single_symbol_symbol_momentum_lev4p0_symbolBNBUSDT_lookback96_threshold_bps50,single_symbol,symbol_momentum,4.0,96,50,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999562679264,-99.99993096076423,-99.99982363273602,-97.54507952108278,-99.99999562679264,-99.99982363273602,40,-92.42732732801679,202,10758,43652.0,43.652,-100.0,1,BNBUSDT
cross_section_long_strong_short_weak_lev4p0_lookback384_threshold_bps200,cross_section,long_strong_short_weak,4.0,384,200,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99970047544662,-99.9999850932593,-99.99999334838378,-99.98175510861203,-99.99999334838378,-99.99999334838378,40,-92.97796463726323,466,25646,51296.0,51.296,-100.0,1,
cross_section_long_strong_short_weak_lev4p0_lookback384_threshold_bps0,cross_section,long_strong_short_weak,4.0,384,0,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99970047544662,-99.99998491903756,-99.99999334891427,-99.98144460926078,-99.99999334891427,-99.99999334891427,40,-93.00088369442038,466,25638,51280.0,51.28,-100.0,1,
cross_section_long_strong_short_weak_lev4p0_lookback384_threshold_bps50,cross_section,long_strong_short_weak,4.0,384,50,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99970047544662,-99.99998491903756,-99.99999334891427,-99.98144460926078,-99.99999334891427,-99.99999334891427,40,-93.00088369442038,466,25638,51280.0,51.28,-100.0,1,
cross_section_long_strong_short_weak_lev4p0_lookback384_threshold_bps100,cross_section,long_strong_short_weak,4.0,384,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99970047544662,-99.99998491903756,-99.99999334891427,-99.98144460926078,-99.99999334891427,-99.99999334891427,40,-93.00088369442038,466,25638,51280.0,51.28,-100.0,1,
cross_section_long_weak_short_strong_lev1p0_lookback1536_threshold_bps0,cross_section,long_weak_short_strong,1.0,1536,0,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-96.60015994610535,-57.43575529568603,-67.67875462343186,-60.95023922804366,-36.714081035691315,-67.67875462343186,-60.95023922804366,41,-21.294501166299295,20,6762,3381.0,3.3810000000000002,-99.9099666241371,1,
cross_section_long_weak_short_strong_lev1p0_lookback1536_threshold_bps50,cross_section,long_weak_short_strong,1.0,1536,50,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-96.60015994610535,-57.43575529568603,-67.67875462343186,-60.95023922804366,-36.714081035691315,-67.67875462343186,-60.95023922804366,41,-21.294501166299295,20,6762,3381.0,3.3810000000000002,-99.9099666241371,1,
cross_section_long_weak_short_strong_lev1p0_lookback1536_threshold_bps100,cross_section,long_weak_short_strong,1.0,1536,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-96.60015994610535,-57.43575529568603,-67.67875462343186,-60.95023922804366,-36.714081035691315,-67.67875462343186,-60.95023922804366,41,-21.294501166299295,20,6762,3381.0,3.3810000000000002,-99.9099666241371,1,
cross_section_long_weak_short_strong_lev1p0_lookback1536_threshold_bps200,cross_section,long_weak_short_strong,1.0,1536,200,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-96.60015994610535,-57.43575529568603,-67.67875462343186,-60.95023922804366,-36.714081035691315,-67.67875462343186,-60.95023922804366,41,-21.294501166299295,20,6762,3381.0,3.3810000000000002,-99.9099666241371,1,
single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback16_threshold_bps100,single_symbol,symbol_momentum,1.0,16,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.98818106492467,-81.33153121583771,-97.27138084548753,-91.1059704913751,-73.91275844733117,-97.27138084548753,-91.1059704913751,41,-37.16263639487111,68,9127,9142.0,9.142,-99.99999998828098,1,BTCUSDT
single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback96_threshold_bps100,single_symbol,symbol_momentum,1.0,96,100,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.98719046991674,-86.81289201647455,-93.66441156404034,-95.97514377103002,-61.90690090826316,-95.97514377103002,-95.97514377103002,41,-37.882319129115515,91,8188,8204.0,8.204,-99.99999361499736,1,BTCUSDT
cross_section_long_weak_short_strong_lev2p0_lookback1536_threshold_bps0,cross_section,long_weak_short_strong,2.0,1536,0,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.88441087607933,-81.8828507275128,-89.55337097307672,-84.7511618365298,-59.94892460842954,-89.55337097307672,-84.7511618365298,41,-38.05444453338338,20,6762,6762.0,6.7620000000000005,-99.9999189399123,1,
cross_section_long_weak_short_strong_lev2p0_lookback1536_threshold_bps50,cross_section,long_weak_short_strong,2.0,1536,50,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.88441087607933,-81.8828507275128,-89.55337097307672,-84.7511618365298,-59.94892460842954,-89.55337097307672,-84.7511618365298,41,-38.05444453338338,20,6762,6762.0,6.7620000000000005,-99.9999189399123,1,
