scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars,timestamp,date,guard_reason,trend_alignment,from_active_position,to_position,turnover,order_count,entry_cost_log,next_1bar_target_log_return,next_3bar_target_log_return,next_8bar_target_log_return,close,natr_30,trend_close_ema_gap_bps_60,trend_adx_30
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-10 05:45:00+00:00,2025-02-10,weak_new_order_small,no_strong_trend,-8.0,0.1,8.1,2,-0.0162,-0.00020117231681027192,5.568026331914667e-06,0.000418489656422949,96979.6,0.3953610393094218,-161.3848470828927,13.3637109573442
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-10 06:00:00+00:00,2025-02-10,main,no_strong_trend,0.1,8.0,7.9,0,-0.0158,0.014707806824020508,0.02732949332605017,0.07771627410023996,96784.7,0.3978510060600307,-161.3848470828927,13.3637109573442
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-11 16:30:00+00:00,2025-02-11,weak_new_order_small,no_strong_trend,8.0,-0.1,8.1,2,-0.0162,0.00013828570490428404,0.00023518921456719966,0.0008333290469655808,96461.3,0.2911293831755134,-120.17418680143166,12.73452204711096
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-11 16:45:00+00:00,2025-02-11,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,0.023287744643440078,0.022621438892002743,0.07465168350388751,96328.0,0.2901609931034023,-120.17418680143166,12.73452204711096
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 11:30:00+00:00,2025-02-12,weak_new_order_small,no_strong_trend,-8.0,0.1,8.1,2,-0.0162,-0.0002118251597309495,-8.469702097428922e-05,-0.0018914360181511826,96266.1,0.2361052217483242,-183.8766244707557,13.841426615051828
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 11:45:00+00:00,2025-02-12,main,no_strong_trend,0.1,8.0,7.9,0,-0.0158,0.008939190098203653,0.0036051769868379324,-0.09587695471046231,96062.4,0.2409957616899865,-183.8766244707557,13.841426615051828
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 13:30:00+00:00,2025-02-12,adverse_shock_cut,no_strong_trend,8.0,0.0,8.0,1,-0.016,0.0,0.0,0.0,94462.4,0.3377158176663392,-174.21319948203617,14.021475340045846
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 13:45:00+00:00,2025-02-12,shock_cooldown_small,flat,0.0,-0.1,0.1,1,-0.0002,6.639511660182507e-05,-0.0005864688178231604,-0.0008853629863297741,94918.0,0.3527121490785094,-174.21319948203617,14.021475340045846
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 14:00:00+00:00,2025-02-12,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,0.018111255759777123,-0.061156191686094985,-0.03992760593014566,94855.0,0.3603511398874721,-174.21319948203617,14.021475340045846
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 14:30:00+00:00,2025-02-12,adverse_shock_cut,no_strong_trend,-8.0,0.0,8.0,1,-0.016,0.0,0.0,0.0,95476.3,0.3923590496810435,-174.21319948203617,14.021475340045846
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-12 14:45:00+00:00,2025-02-12,shock_cooldown_small,flat,0.0,-0.1,0.1,1,-0.0002,0.0006887865488497624,-3.159061931334861e-05,-0.0014142653002636508,95582.9,0.3945296769320327,-174.21319948203617,14.021475340045846
