timestamp,date,close,strategy_log_return,gross_log_return,cost_log_return,raw_log_return,active_position,position,turnover,order_count,base_side,trend_side,trend_alignment,weak_trend,guard_reason,natr_30,trend_close_ema_gap_bps_60,trend_adx_30,rsi14,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-02-28 02:00:00+00:00,2025-02-28,82416.2,-0.09495542161743663,-0.07895542161743663,-0.016,0.009869427702179578,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.7226866266103367,-829.6399419107736,32.21003159278484,33.97046493234711,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-28 13:30:00+00:00,2025-02-28,81460.1,-0.08988782835228369,-0.07388782835228369,-0.016,0.009235978544035461,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.802104192976322,-1213.0373629977064,35.15696786935816,64.78259955343128,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-28 02:45:00+00:00,2025-02-28,80772.0,-0.08914073988621317,-0.07314073988621317,-0.016,0.009142592485776646,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.8488074184243938,-829.6399419107736,32.21003159278484,30.27266175760168,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-12 14:30:00+00:00,2025-02-12,95476.3,-0.08634037051377595,-0.07034037051377595,-0.016,0.008792546314221994,-8.0,0.0,8.0,1,-1,0,no_strong_trend,True,adverse_shock_cut,0.3923590496810435,-174.21319948203617,14.021475340045846,46.98877695112473,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-27 14:30:00+00:00,2025-02-27,85544.2,-0.08430369873098618,-0.06830369873098618,-0.016,-0.008537962341373273,8.0,0.0,8.0,1,1,0,no_strong_trend,False,adverse_shock_cut,0.5554425063428289,-752.0180261059472,29.339389166443524,39.12324860640783,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-26 14:00:00+00:00,2025-02-26,86444.3,-0.0810439686112918,-0.0650439686112918,-0.016,-0.008130496076411475,8.0,0.0,8.0,1,-1,0,no_strong_trend,False,adverse_shock_cut,0.4414037161921288,-630.719951552905,24.183163488746743,18.063311745410445,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-21 17:30:00+00:00,2025-02-21,97090.4,-0.08035651355856464,-0.06435651355856464,-0.016,-0.00804456419482058,8.0,0.0,8.0,1,1,0,no_strong_trend,True,adverse_shock_cut,0.3931605124532152,113.14982076660483,13.390266707377409,32.64307573337953,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-20 14:45:00+00:00,2025-02-20,96918.0,-0.07866893714179389,-0.06266893714179389,-0.016,-0.007833617142724236,8.0,0.0,8.0,1,1,0,no_strong_trend,True,adverse_shock_cut,0.2059963621126103,39.20222379798943,15.832136020989685,39.6102383294105,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-12 13:30:00+00:00,2025-02-12,94462.4,-0.18386018482295619,-0.16786018482295617,-0.016,-0.02098252310286952,8.0,0.0,8.0,1,1,0,no_strong_trend,True,adverse_shock_cut,0.3377158176663392,-174.21319948203617,14.021475340045846,27.71840116776319,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-28 09:15:00+00:00,2025-02-28,80375.2,-0.14162664850266005,-0.12562664850266003,-0.016,0.015703331062832504,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.9209416850594768,-1416.366562286271,34.172945663780965,53.55971875803424,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-28 15:00:00+00:00,2025-02-28,83260.9,-0.13261688172533503,-0.11661688172533502,-0.016,0.014577110215666877,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.8405099446883878,-1213.0373629977064,35.15696786935816,75.27159348510158,1F_04pct_delay2_fail,1F,0.002,0.004,2
2025-02-07 15:00:00+00:00,2025-02-07,98380.0,-0.12043429312211094,-0.10443429312211094,-0.016,-0.013054286640263868,8.0,0.0,8.0,1,1,0,no_strong_trend,True,adverse_shock_cut,0.423837447480577,-190.86613103475256,14.69648999380685,53.24977569900585,1F_04pct_delay2_fail,1F,0.002,0.004,2
