kind,repo,license,stars,repo_updated_at,is_archived,path,url,raw_url,query,downloaded_path,note
candidate_strategy,Devon-ODell/quant,,0,2025-07-29T01:26:11Z,False,py-src/strategies/donchian_v1.py,https://github.com/Devon-ODell/quant/blob/2082f409ad97313fcf9f6195e6eadfd795b27fbc/py-src/strategies/donchian_v1.py,https://raw.githubusercontent.com/Devon-ODell/quant/2082f409ad97313fcf9f6195e6eadfd795b27fbc/py-src/strategies/donchian_v1.py,from jesse.strategies import Strategy,artifacts\public_jesse_strategy_sources_20260629\downloaded\Devon-ODell__quant__py-src__strategies__donchian_v1.py,
candidate_strategy,Devon-ODell/quant,,0,2025-07-29T01:26:11Z,False,py-src/strategies/macd-ema_v1.py,https://github.com/Devon-ODell/quant/blob/2082f409ad97313fcf9f6195e6eadfd795b27fbc/py-src/strategies/macd-ema_v1.py,https://raw.githubusercontent.com/Devon-ODell/quant/2082f409ad97313fcf9f6195e6eadfd795b27fbc/py-src/strategies/macd-ema_v1.py,from jesse import utils,artifacts\public_jesse_strategy_sources_20260629\downloaded\Devon-ODell__quant__py-src__strategies__macd-ema_v1.py,
candidate_strategy,Justant-source/Bit-Mania,,0,2026-06-15T03:00:01Z,False,backtest/results/7-strategies/tradeiq_cci_ce/4h/bidirectional/strategy.py,https://github.com/Justant-source/Bit-Mania/blob/6445540d7f7a11497bcd2352c9507f95084e927e/backtest/results/7-strategies/tradeiq_cci_ce/4h/bidirectional/strategy.py,https://raw.githubusercontent.com/Justant-source/Bit-Mania/6445540d7f7a11497bcd2352c9507f95084e927e/backtest/results/7-strategies/tradeiq_cci_ce/4h/bidirectional/strategy.py,from jesse.strategies import Strategy,artifacts\public_jesse_strategy_sources_20260629\downloaded\Justant-source__Bit-Mania__backtest__results__7-strategies__tradeiq_cci_ce__4h__bidirectional__strategy.py,
candidate_strategy,Justant-source/Bit-Mania,,0,2026-06-15T03:00:01Z,False,backtest/results/7-strategies/trendtype/4h/long_only/strategy.py,https://github.com/Justant-source/Bit-Mania/blob/6445540d7f7a11497bcd2352c9507f95084e927e/backtest/results/7-strategies/trendtype/4h/long_only/strategy.py,https://raw.githubusercontent.com/Justant-source/Bit-Mania/6445540d7f7a11497bcd2352c9507f95084e927e/backtest/results/7-strategies/trendtype/4h/long_only/strategy.py,from jesse.strategies import Strategy,artifacts\public_jesse_strategy_sources_20260629\downloaded\Justant-source__Bit-Mania__backtest__results__7-strategies__trendtype__4h__long_only__strategy.py,
candidate_strategy,TSchonleber/brainctl,,74,2026-06-28T10:47:01Z,False,plugins/jesse/brainctl/examples/sample_strategy.py,https://github.com/TSchonleber/brainctl/blob/c6348087dd07e54583f762e07bf960ac982019e6/plugins/jesse/brainctl/examples/sample_strategy.py,https://raw.githubusercontent.com/TSchonleber/brainctl/c6348087dd07e54583f762e07bf960ac982019e6/plugins/jesse/brainctl/examples/sample_strategy.py,from jesse.strategies import Strategy,artifacts\public_jesse_strategy_sources_20260629\downloaded\TSchonleber__brainctl__plugins__jesse__brainctl__examples__sample_strategy.py,
candidate_strategy,arti-st/JesseTrade-strategies,,1,2025-09-23T04:56:06Z,False,Strat16_ThreeRailsREVERSE/__init__.py,https://github.com/arti-st/JesseTrade-strategies/blob/1cb7804101d15db85dd0fb9071a20b37edaab9c2/Strat16_ThreeRailsREVERSE/__init__.py,https://raw.githubusercontent.com/arti-st/JesseTrade-strategies/1cb7804101d15db85dd0fb9071a20b37edaab9c2/Strat16_ThreeRailsREVERSE/__init__.py,from jesse import utils,artifacts\public_jesse_strategy_sources_20260629\downloaded\arti-st__JesseTrade-strategies__Strat16_ThreeRailsREVERSE____init__.py,
candidate_strategy,ben-walker/jesse-trade,,0,2021-04-10T22:12:39Z,False,jesse-data/bot-01/strategies/TurtleRules/__init__.py,https://github.com/ben-walker/jesse-trade/blob/fd93a1668f87f65d7bd8f6cedb8d6e8c1b330ecd/jesse-data/bot-01/strategies/TurtleRules/__init__.py,https://raw.githubusercontent.com/ben-walker/jesse-trade/fd93a1668f87f65d7bd8f6cedb8d6e8c1b330ecd/jesse-data/bot-01/strategies/TurtleRules/__init__.py,from jesse.indicators import,artifacts\public_jesse_strategy_sources_20260629\downloaded\ben-walker__jesse-trade__jesse-data__bot-01__strategies__TurtleRules____init__.py,
candidate_strategy,dcupmusic/strategies,,0,2024-12-28T03:20:17Z,False,backtest_demo/__init__.py,https://github.com/dcupmusic/strategies/blob/77c42ed8e095f97d447e1f9b7b9c06053c24b22a/backtest_demo/__init__.py,https://raw.githubusercontent.com/dcupmusic/strategies/77c42ed8e095f97d447e1f9b7b9c06053c24b22a/backtest_demo/__init__.py,from jesse import utils,artifacts\public_jesse_strategy_sources_20260629\downloaded\dcupmusic__strategies__backtest_demo____init__.py,
candidate_strategy,deemzie/jesse,,10,2026-01-19T19:40:29Z,False,strategies/RangeReversal/__init__.py,https://github.com/deemzie/jesse/blob/7eb1a71024eb0a1c72da8dc8972a5edd07587010/strategies/RangeReversal/__init__.py,https://raw.githubusercontent.com/deemzie/jesse/7eb1a71024eb0a1c72da8dc8972a5edd07587010/strategies/RangeReversal/__init__.py,from jesse import utils,artifacts\public_jesse_strategy_sources_20260629\downloaded\deemzie__jesse__strategies__RangeReversal____init__.py,
candidate_strategy,deemzie/jesse,,10,2026-01-19T19:40:29Z,False,strategies/TripleSupertrendTF/__init__.py,https://github.com/deemzie/jesse/blob/7eb1a71024eb0a1c72da8dc8972a5edd07587010/strategies/TripleSupertrendTF/__init__.py,https://raw.githubusercontent.com/deemzie/jesse/7eb1a71024eb0a1c72da8dc8972a5edd07587010/strategies/TripleSupertrendTF/__init__.py,from jesse.strategies import Strategy,artifacts\public_jesse_strategy_sources_20260629\downloaded\deemzie__jesse__strategies__TripleSupertrendTF____init__.py,
candidate_strategy,financial-astrology-research/jesse-astrology-trading-strategy,,103,2026-06-05T18:03:17Z,False,strategies/AstroStrategyRSI/__init__.py,https://github.com/financial-astrology-research/jesse-astrology-trading-strategy/blob/1369e36cb4e17d09a160189bd0c853418a828ac2/strategies/AstroStrategyRSI/__init__.py,https://raw.githubusercontent.com/financial-astrology-research/jesse-astrology-trading-strategy/1369e36cb4e17d09a160189bd0c853418a828ac2/strategies/AstroStrategyRSI/__init__.py,from jesse import utils,artifacts\public_jesse_strategy_sources_20260629\downloaded\financial-astrology-research__jesse-astrology-trading-strategy__strategies__AstroStrategyRSI____init__.py,
candidate_strategy,nishimweprince/trading-algos,,0,2026-05-28T21:10:29Z,False,jesse-strategies/strategies/AMTTrendContinuation/__init__.py,https://github.com/nishimweprince/trading-algos/blob/563237f769a63747e4ed72f9a37dc6ffa11c8dd7/jesse-strategies/strategies/AMTTrendContinuation/__init__.py,https://raw.githubusercontent.com/nishimweprince/trading-algos/563237f769a63747e4ed72f9a37dc6ffa11c8dd7/jesse-strategies/strategies/AMTTrendContinuation/__init__.py,from jesse import utils,artifacts\public_jesse_strategy_sources_20260629\downloaded\nishimweprince__trading-algos__jesse-strategies__strategies__AMTTrendContinuation____init__.py,
candidate_strategy,ysdede/jesse-tk,,13,2025-01-24T22:25:44Z,False,jessetk/Strategy,https://github.com/ysdede/jesse-tk/blob/594c4ecca27e9221100036210834e126800ad50d/jessetk/Strategy,https://raw.githubusercontent.com/ysdede/jesse-tk/594c4ecca27e9221100036210834e126800ad50d/jessetk/Strategy,from jesse.strategies import Strategy,artifacts\public_jesse_strategy_sources_20260629\downloaded\ysdede__jesse-tk__jessetk__Strategy,
