variant_id,month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
first_5_orders_then_flat,2026-01,-0.012339224589641064,2.1591356496490532,2.132870563529423,-0.1384411262947025,32.2,6,-1.2263408515481466,-13.844112629470251
first_5_orders_then_flat,2026-02,0.33001231049072394,2.1158756692376945,2.9667914984424293,-0.23493425045047045,48.2,6,39.098525206942284,-23.493425045047044
first_5_orders_then_flat,2026-03,0.04451077677162622,2.966494834126048,3.1018287040032755,-0.2412433404402735,20.2,6,4.551624393953579,-24.12433404402735
first_5_orders_then_flat,2026-04,0.12586259238194566,3.1015185366415015,3.5178655732786273,-0.19443641564594893,20.2,6,13.412631997969694,-19.443641564594895
first_5_orders_then_flat,2026-05,0.18065117566845945,3.517513804310041,4.214393162422196,-0.05921424606377834,20.2,6,19.799721582152706,-5.921424606377834
first_5_orders_then_flat,2026-06,0.3704748062412016,4.213971744177217,6.10422049506598,-0.15213903905448045,46.5,6,44.842217130914655,-15.213903905448046
first_10_orders_then_flat,2025-01,0.06586270102717974,0.9999000049998333,1.0680800608031016,-0.1755076110748066,50.2,12,6.808006080310158,-17.55076110748066
first_10_orders_then_flat,2025-02,0.10229646206467854,1.0679732581372436,1.1831249054806303,-0.06766700206675302,20.2,12,10.771181758699356,-6.766700206675303
first_10_orders_then_flat,2025-03,0.19752742753083652,1.1828291612238326,1.4415033911707584,-0.2883933376524883,66.0,12,21.838648184416765,-28.83933376524883
first_10_orders_then_flat,2025-04,-0.03226447644020398,1.4413592480389181,1.3957363342425821,-0.19487053124468312,32.2,12,-3.174953122448454,-19.48705312446831
first_10_orders_then_flat,2025-05,0.16267498321787036,1.3955967675876069,1.6422990130420183,-0.25502628020990104,48.0,12,17.665419517307136,-25.5026280209901
first_10_orders_then_flat,2025-06,-0.08241710978751805,1.6421347913519353,1.5123730713198125,-0.16307578997263306,32.2,12,-7.9112232724018465,-16.307578997263306
first_10_orders_then_flat,2025-07,0.05460616691691529,1.5122218415742938,1.597254398879585,-0.18895455942800143,32.2,12,5.612459595415742,-18.895455942800144
first_10_orders_then_flat,2025-08,0.09101474132181223,1.597094681425703,1.7494490256065496,-0.1369261937538886,32.2,12,9.528515109034807,-13.692619375388858
first_10_orders_then_flat,2025-09,0.05976242129193255,1.7492740894509426,1.8571876310518107,-0.10192151979435915,32.2,12,6.1584306755040785,-10.192151979435915
first_10_orders_then_flat,2025-10,0.11582798795974117,1.8570019215743343,2.085255323574269,-0.16468621952538953,51.5,12,12.280271993481495,-16.468621952538953
first_10_orders_then_flat,2025-11,0.2003237935586133,2.0850468084678404,2.547761418875975,-0.10593325191843828,36.0,12,22.179830453996363,-10.593325191843828
first_10_orders_then_flat,2025-12,0.17030175358101537,2.54750665547247,3.020785365086634,-0.11251118499351642,32.2,12,18.56625752733738,-11.251118499351643
first_10_orders_then_flat,2026-01,0.11012415572036488,3.020483301653549,3.372455142215364,-0.20989094466236902,68.2,12,11.641667137070666,-20.989094466236903
first_10_orders_then_flat,2026-02,0.26003352742368824,3.3455831324339993,4.373985185865994,-0.24427114631985958,60.2,12,29.697357011922154,-24.42711463198596
first_10_orders_then_flat,2026-03,0.21158692714390342,4.373547809216604,5.4046595575534635,-0.29252496952297047,36.0,12,23.563737138798956,-29.252496952297047
first_10_orders_then_flat,2026-04,0.18975958475467902,5.4041191186201045,6.5340113306625565,-0.1122949787301536,36.0,12,20.895891056278117,-11.22949787301536
first_10_orders_then_flat,2026-05,0.13330054833545787,6.533357962198458,7.4657179034794705,-0.09502690556500881,32.2,12,14.259335126106066,-9.50269055650088
first_10_orders_then_flat,2026-06,0.37910887719669967,7.4649713690164665,10.90728018120829,-0.2113058144879909,54.7,12,46.09820947192284,-21.13058144879909
first_15_orders_then_flat,2025-01,0.050973187424684284,0.9999000049998333,1.0522946781746327,-0.1755076110748066,98.0,16,5.229467817463296,-17.55076110748066
first_15_orders_then_flat,2025-02,-0.21349437072611066,1.0521894539681134,0.8499980842690551,-0.3385151619485304,68.0,16,-19.22432927784946,-33.85151619485304
first_15_orders_then_flat,2025-03,0.22650044421407314,0.8497856113082145,1.0660702892073874,-0.49696683144028264,97.2,16,25.42031669684772,-49.69668314402826
first_15_orders_then_flat,2025-04,-0.1458096578410841,1.0659636875086405,0.9214282225013242,-0.31801986533882276,64.2,16,-13.567779551721982,-31.801986533882275
first_15_orders_then_flat,2025-05,0.025838611749860074,0.9213360842860615,0.94554690335745,-0.39327850384715146,92.0,16,2.6175322469126128,-39.32785038471515
first_15_orders_then_flat,2025-06,0.23305168595108217,0.9454523533946911,1.1937025946931812,-0.3973698118683202,80.0,16,26.244672840086448,-39.73698118683202
first_15_orders_then_flat,2025-07,0.6884771799984988,1.1935832304020257,2.3762819986803256,-0.2824815634460385,80.0,16,99.06817738727496,-28.24815634460385
first_15_orders_then_flat,2025-08,0.17217103386916144,2.3760443823614716,2.822740198191724,-0.2996470866334877,64.2,16,18.78809837213511,-29.964708663348773
first_15_orders_then_flat,2025-09,0.06426644396675356,2.8224579382851354,3.010103786126119,-0.27453660550438386,64.2,16,6.637649049474059,-27.453660550438386
