candidate_id,family,rule,leverage,trigger_window,trend_window,trigger_threshold_bps,trend_threshold_bps,hold_bars,hard_pass_original_2025_2026_ytd,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,min_target_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,volume_z
event_trend_trend_pullback_lev1p0_trigger_window20_trend_window320_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_trend,trend_pullback,1.0,20,320,100,150,32,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2024-01', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-04', '2025-06', '2025-10', '2025-11', '2025-12', '2026-01', '2026-04', '2026-05']",-61.09829954759534,-14.238379509850995,-42.372771447827375,-22.56334710447544,1.6485763153972766,-42.372771447827375,-22.56334710447544,29,-15.422204538313256,0,1020,1022.0,1.022,-94.64195286963,1,
event_range_range_reversal_lev2p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_range,range_reversal,2.0,5,960,100,150,32,False,False,"['2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-02', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-62.71831212203407,-20.162158601947986,-40.71443712962777,2.619822688633011,-23.24501829521569,-40.71443712962777,-23.24501829521569,29,-18.63293498040254,2,794,1740.0,1.7400000000000002,-97.22325984147655,1,
event_trend_trend_pullback_lev2p0_trigger_window20_trend_window320_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_trend,trend_pullback,2.0,20,320,100,150,32,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2024-01', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-04', '2025-06', '2025-10', '2025-11', '2025-12', '2026-01', '2026-04', '2026-05']",-84.86657701911379,-26.449444509036557,-66.79102529395661,-40.035647883380484,3.3243306694714425,-66.79102529395661,-40.035647883380484,29,-28.46596514841082,0,1020,2044.0,2.044,-99.71291330948733,1,
event_range_range_reversal_lev4p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_range,range_reversal,4.0,5,960,100,150,32,False,False,"['2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-02', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-86.10075748969928,-36.25919080899492,-64.85222035143141,5.3082800864648005,-41.08672783498226,-64.85222035143141,-41.08672783498226,29,-33.79400730096599,2,794,3480.0,3.4800000000000004,-99.92289714092043,1,
event_trend_trend_pullback_lev4p0_trigger_window20_trend_window320_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_trend,trend_pullback,4.0,20,320,100,150,32,False,False,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2024-01', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-04', '2025-06', '2025-10', '2025-11', '2025-12', '2026-01', '2026-04', '2026-05']",-97.70979508881585,-45.903157869707066,-88.9716399897337,-64.04276475234069,6.759173082942782,-88.9716399897337,-64.04276475234069,29,-48.82881857851624,0,1020,4088.0,4.088,-99.99917581232131,1,
event_trend_trend_pullback_lev1p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_trend,trend_pullback,1.0,5,960,100,150,32,False,False,"['2023-04', '2023-05', '2023-07', '2023-08', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-08', '2024-09', '2024-11', '2024-12', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04', '2026-05']",-60.50442399288227,-4.819272481686021,-42.08049575460704,-26.971437277280288,-1.8971006704144644,-42.08049575460704,-26.971437277280288,30,-13.92813071536494,0,790,790.0,0.79,-98.35342963072003,1,
event_range_range_reversal_lev1p0_trigger_window80_trend_window960_trigger_threshold_bps100_trend_threshold_bps50_hold_bars32,event_range,range_reversal,1.0,80,960,100,50,32,False,False,"['2023-01', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-11', '2023-12', '2024-01', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-02', '2026-03', '2026-04']",-77.34504543152703,-27.000018921847403,-37.02973870559509,-44.759243673083574,-10.783468184027944,-44.759243673083574,-44.759243673083574,30,-16.247015162749555,16,1597,1624.0,1.624,-97.5352640759505,1,
event_trend_trend_breakout_lev1p0_trigger_window5_trend_window320_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_trend,trend_breakout,1.0,5,320,100,150,32,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-06', '2024-07', '2024-10', '2024-11', '2025-01', '2025-04', '2025-05', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-04', '2026-05']",-76.44835184559831,-31.537593375823448,-41.67070213499815,-45.3088846594608,7.836457892159077,-45.3088846594608,-45.3088846594608,30,-18.789218283522136,6,1412,1418.0,1.4180000000000001,-99.70172975243071,1,
event_trend_trend_breakout_lev1p0_trigger_window80_trend_window320_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_trend,trend_breakout,1.0,80,320,100,150,32,False,False,"['2023-02', '2023-04', '2023-05', '2023-07', '2023-09', '2023-11', '2024-01', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-09', '2025-10', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-92.02140788344735,-13.18162314998117,-73.71938445487922,-46.65181233470101,-34.452007070157606,-73.71938445487922,-46.65181233470101,30,-22.484908550866333,26,3175,3192.0,3.192,-99.94265386755747,1,
event_trend_trend_pullback_lev2p0_trigger_window5_trend_window960_trigger_threshold_bps100_trend_threshold_bps150_hold_bars32,event_trend,trend_pullback,2.0,5,960,100,150,32,False,False,"['2023-04', '2023-05', '2023-07', '2023-08', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-08', '2024-09', '2024-11', '2024-12', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04', '2026-05']",-84.40099475865985,-9.406291090844675,-66.45331027967907,-46.66829026653792,-3.758211431292069,-66.45331027967907,-46.66829026653792,30,-25.916333178486962,0,790,1580.0,1.58,-99.97288806019009,1,
