candidate_id,family,rule,direction,leverage,month,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct,oracle_id,no_order_floor_candidate
funding_mean_funding_mean_contrarian_lev4p0_window3_threshold_bps0p5,funding_mean,funding_mean,contrarian,4.0,2026-05,0.20088247431666645,0.06,60.0,15,34.34139784946236,-93.40617960332015,22.248109045484888,monthly_oracle_best_return,False
funding_level_funding_level_momentum_lev4p0_threshold_bps0p5,funding_level,funding_level,momentum,4.0,2023-01,1.0871576200926514,0.056,56.0,14,81.72043010752688,-99.99988937288073,196.58320590886743,monthly_oracle_best_return_order10,False
funding_zscore_funding_zscore_contrarian_lev4p0_window63_z_threshold2p0,funding_zscore,funding_zscore,contrarian,4.0,2023-02,0.172537895628901,0.048,48.0,12,15.438988095238097,-29.220760734172245,18.831685177617263,monthly_oracle_best_return_order10,False
funding_zscore_funding_zscore_contrarian_lev4p0_window21_z_threshold1p0,funding_zscore,funding_zscore,contrarian,4.0,2023-03,1.3681420347220754,0.156,156.0,34,42.876344086021504,-56.208281497136284,292.804573880117,monthly_oracle_best_return_order10,False
funding_zscore_funding_zscore_contrarian_lev4p0_window3_z_threshold1p0,funding_zscore,funding_zscore,contrarian,4.0,2023-04,0.36868343333905895,0.28,280.0,60,52.43055555555556,-99.95002128035678,44.58298296990964,monthly_oracle_best_return_order10,False
funding_zscore_funding_zscore_momentum_lev4p0_window63_z_threshold1p0,funding_zscore,funding_zscore,momentum,4.0,2023-05,0.20377078699122256,0.164,164.0,40,44.086021505376344,-99.99057300711324,22.60171021783337,monthly_oracle_best_return_order10,False
funding_mean_funding_mean_contrarian_lev4p0_window3_threshold_bps0p5,funding_mean,funding_mean,contrarian,4.0,2023-06,0.19253162631897164,0.056,56.0,14,72.22222222222221,-70.42640478366576,21.231484415711254,monthly_oracle_best_return_order10,False
funding_mean_funding_mean_contrarian_lev4p0_window3_threshold_bps0p5,funding_mean,funding_mean,contrarian,4.0,2023-07,0.3375491836065763,0.064,64.0,16,63.40725806451613,-65.25223307218525,40.150853794140076,monthly_oracle_best_return_order10,False
funding_level_funding_level_contrarian_lev4p0_threshold_bps0p5,funding_level,funding_level,contrarian,4.0,2023-08,0.5312715107562864,0.07200000000000001,72.0,18,62.365591397849464,-87.27962869232014,70.10938932710032,monthly_oracle_best_return_order10,False
funding_zscore_funding_zscore_momentum_lev4p0_window9_z_threshold1p5,funding_zscore,funding_zscore,momentum,4.0,2023-09,0.2019475278442223,0.096,96.0,23,14.479166666666668,-99.76055850917434,22.378379185282583,monthly_oracle_best_return_order10,False
funding_change_funding_change_momentum_lev4p0_window9_threshold_bps1p0,funding_change,funding_change,momentum,4.0,2023-10,0.2048123297397302,0.04,40.0,10,6.485215053763441,-99.99056871627734,22.72947166301902,monthly_oracle_best_return_order10,False
funding_change_funding_change_contrarian_lev4p0_window9_threshold_bps1p0,funding_change,funding_change,contrarian,4.0,2023-11,0.2094303786071441,0.04,40.0,10,7.8125,-92.97308929743116,23.29755306487522,monthly_oracle_best_return_order10,False
