confirm_bars,leverage,lock_log,quota_arm_log,quota_leverage,train_hard_ok,train_return_pct,train_losing_months,train_min_monthly_return_pct,train_min_monthly_orders,train_turnover,eval_return_pct,eval_losing_months,eval_min_monthly_return_pct,eval_min_monthly_orders,eval_turnover,eval_hard_pass
8,6.0,0.04,0.04,0.25,False,92.26880045119546,1,-24.209764552008327,11,1024.0,101.69130157477339,0,3.1355068677641817,12,371.0,True
8,6.0,0.04,0.04,1.0,False,163.7573771854596,1,-24.209764552008327,11,1072.0,143.13264948958633,0,1.7833122325167539,12,484.0,True
8,6.0,0.04,0.08,0.25,False,128.9378980888614,1,-24.209764552008327,11,977.5,-24.428781949135626,2,-66.19514802750473,12,757.5,False
8,6.0,0.04,0.08,1.0,False,182.94576269754305,1,-24.209764552008327,11,1050.0,-15.15694777487867,2,-66.19514802750473,12,826.0,False
8,8.0,0.02,,,False,988.026106732406,3,-74.4196406568502,11,2224.0,344.1183491998839,1,-76.45102268128896,12,1880.0,False
8,8.0,0.02,0.04,0.25,True,155.16207966376444,0,0.5623565296131394,12,740.5,116.48163533391357,0,0.4002428919457124,12,425.0,True
8,8.0,0.02,0.04,1.0,True,316.41098958805884,0,1.3078179745271035,12,912.0,158.797069450253,0,0.17842413328414963,12,528.0,True
8,8.0,0.02,0.08,0.25,False,168.69094520446012,1,-30.89899851946424,11,1297.5,-36.766018408259185,1,-76.45102268128896,12,988.0,False
8,8.0,0.02,0.08,1.0,False,235.13090488860797,1,-30.89899851946424,11,1350.0,-32.78338633857235,1,-76.45102268128896,12,1062.0,False
8,8.0,0.04,,,False,993.9400453017239,3,-74.4196406568502,11,2224.0,254.73528672411706,4,-76.45102268128896,12,1880.0,False
8,8.0,0.04,0.04,0.25,True,233.7834961602433,0,4.4621653861737665,12,788.0,139.4895638936284,0,2.297575484399239,12,440.5,True
8,8.0,0.04,0.04,1.0,True,360.0790225152709,0,2.8387533570871426,12,912.0,165.3512472026285,0,1.752030125552717,12,528.0,True
8,8.0,0.04,0.08,0.25,False,168.69094520446012,1,-30.89899851946424,11,1297.5,-40.584828862772106,2,-76.45102268128896,12,988.0,False
8,8.0,0.04,0.08,1.0,False,235.13090488860797,1,-30.89899851946424,11,1350.0,-33.470698872370974,2,-76.45102268128896,12,1062.0,False
12,4.0,0.02,,,False,291.42092142351004,3,-32.23217744273777,12,1096.0,163.5068428695836,3,-26.744792467752998,11,1076.0,False
12,4.0,0.02,0.04,0.25,False,46.43367494860404,1,-30.35717937507161,11,593.5,16.476382830049996,1,-26.744792467752998,12,480.0,False
12,4.0,0.02,0.04,1.0,False,90.13286172005908,1,-30.35717937507161,11,658.0,31.048915845685364,1,-26.744792467752998,12,552.0,False
12,4.0,0.02,0.08,0.25,False,85.68822595339792,1,-30.35717937507161,11,608.5,61.04859479978448,2,-26.744792467752998,12,525.0,False
12,4.0,0.02,0.08,1.0,False,119.65918000126217,1,-30.35717937507161,11,670.0,72.51365221001547,2,-26.744792467752998,12,576.0,False
12,4.0,0.04,,,False,317.9316414487511,3,-32.23217744273777,12,1096.0,193.94637022411288,2,-26.744792467752998,11,1084.0,False
12,4.0,0.04,0.04,0.25,False,49.925255097063406,1,-30.35717937507161,11,608.5,37.1837184694229,1,-26.744792467752998,12,518.0,False
12,4.0,0.04,0.04,1.0,False,116.65002235606097,1,-30.35717937507161,11,678.0,68.46086212741322,1,-26.744792467752998,12,586.0,False
12,4.0,0.04,0.08,0.25,False,85.68822595339792,1,-30.35717937507161,11,608.5,76.13791148517748,1,-26.744792467752998,12,533.0,False
