candidate_id,horizon,threshold,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,orders,turnover
hgb_upper_bound_h32_b03eece7a5,32,0.0022621652080651753,True,10235.108868598956,1475.856585061724,1475.856585061724,7.245427931019721,0,35,149668582.05103198,-6.177722058782176,1902,1902.0
hgb_upper_bound_h8_eaf4bb372e,8,0.0006207887915553384,True,13217.99104339554,1791.2379564199214,1791.2379564199214,6.766354563954491,0,70,884422039.4814098,-5.325518233290594,4786,4786.0
hgb_upper_bound_h64_b7d95de878,64,0.006343076278916107,True,4750.570409760974,655.9450082603925,655.9450082603925,6.545991167294551,0,10,8763041.134523295,-10.557653884565465,894,894.0
hgb_upper_bound_h32_edd42effca,32,0.003207772452678279,True,7936.775187111112,1288.506598667089,1288.506598667089,6.441783880306073,0,12,57280757.877770394,-6.85091964322978,1538,1538.0
hgb_upper_bound_h16_6d252a1bbc,16,0.0006289181928574463,True,16408.605103066126,1956.1357239800493,1956.1357239800493,6.2477495572548,0,76,922543030.6082338,-5.910983725416086,3899,3899.0
hgb_upper_bound_h64_fa3abf4608,64,0.001443687919705666,True,12009.811890597319,961.7348611917089,961.7348611917089,5.918503993140378,0,20,78194081.87225628,-9.29130132765158,1395,1395.0
hgb_upper_bound_h32_d72994c2fb,32,0.001261647922004387,True,19319.022692613493,1766.5638695453551,1766.5638695453551,4.961350201922676,0,50,387220740.2006272,-6.966439129894775,2383,2383.0
hgb_upper_bound_h32_aa5564095d,32,0.0009577843380313814,True,18702.181687490436,1646.308390083809,1646.308390083809,4.296597231109089,0,53,350852083.8383,-9.96007615137372,2389,2389.0
hgb_upper_bound_h16_3fb1d25201,16,0.0013770045505293795,True,15024.171159948764,1493.0610330916388,1493.0610330916388,4.257922632024846,0,32,589800883.1975255,-5.377697447407748,2662,2662.0
hgb_upper_bound_h16_aef6e649ca,16,0.0003330159720814318,True,13042.727098930654,1859.5931798317342,1859.5931798317342,3.6075627883311645,0,110,1066241175.0945771,-7.689254196522222,4391,4391.0
hgb_upper_bound_h8_5e5c912c11,8,0.0012922659919844624,True,6226.431428952113,1316.1814936854041,1316.1814936854041,1.3070080864391764,0,18,134952770.4940276,-5.185864901706827,2820,2820.0
hgb_upper_bound_h16_54c6d03b01,16,0.00022701185888477894,True,14261.158401828854,1860.010576455184,1860.010576455184,0.6932081683614255,0,90,1238230762.9979057,-10.468380280432266,4403,4403.0
hgb_upper_bound_h16_47a9fec9aa,16,0.002718440849702029,False,4357.1936792799925,675.1924044105353,675.1924044105353,1.5987287957571095,0,2,20221437.162084177,-5.776886905454259,1512,1512.0
hgb_upper_bound_h32_b7b983de90,32,0.0057636443885490584,False,2830.0209854830027,474.1899167751062,474.1899167751062,0.6921923470629476,0,2,2095141.285068266,-10.47333152898452,832,832.0
hgb_upper_bound_h64_7c03c2864e,64,0.010596669499870747,False,1860.8893418128382,363.22270747669785,363.22270747669785,0.0,1,0,737761.6422516768,-9.291301327651592,550,550.0
hgb_upper_bound_h8_a555232d39,8,0.0002810641372812156,False,18375.45426583666,1722.0886693362813,1722.0886693362813,-0.12345774332842563,2,169,2355433887.7778225,-7.0050473436510945,6975,6975.0
hgb_upper_bound_h8_c053fe4423,8,3.36647372281196e-05,False,9962.899407517752,2493.869219468467,2493.869219468467,-0.6210788547446167,1,158,2020471863.7158723,-12.579081391953551,7189,7189.0
hgb_upper_bound_h8_bd17e28c94,8,0.00020888100418533747,False,11321.936120937959,1776.470974470548,1776.470974470548,-0.8165513160521831,1,178,916576177.0380052,-13.729164628067746,7685,7685.0
hgb_upper_bound_h8_d57009c277,8,0.00015146933850070668,False,11674.944725626114,2519.7052032957013,2519.7052032957013,-2.0986945202657314,1,194,1505099018.7361066,-10.710312874616534,7959,7959.0
hgb_upper_bound_h8_2be907cf05,8,0.00010545806048271303,False,9254.19012865,1934.6704365107132,1934.6704365107132,-2.8586522172387108,1,176,760983883.8902143,-13.774694689930179,8025,8025.0
hgb_upper_bound_h8_e782cb16ff,8,0.000404830278532873,False,15124.784449241108,1450.2290823193828,1450.2290823193828,-3.0088241206326805,1,117,1164338813.3688693,-7.288619533142038,5903,5903.0
hgb_upper_bound_h8_16bc2a0906,8,6.83570960380236e-05,False,11385.311369834184,1451.4111606904116,1451.4111606904116,-6.467370370343451,2,148,787383412.0616587,-15.67837144859655,7911,7911.0
