config_id,top_k,lookback_months,min_pos_rate,score_mode,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,total_eval_return_pct,non_positive_months,min_monthly_orders,months,hard_pass
67,5,0,0.5,mean_minus_std,25.196857835163666,-22.02550244032075,-43.08121299427262,-1.5477392975159578,-43.08121299427262,-45.29495955023509,20,5,41,False
73,10,12,0.45,mean_minus_std,-21.11840697792285,-17.84021307844475,-43.52500839821183,-14.80625332341635,-43.52500839821183,-68.81836596480449,28,34,41,False
76,10,12,0.5,mean_minus_std,-21.11840697792285,-17.84021307844475,-43.52500839821183,-14.80625332341635,-43.52500839821183,-68.81836596480449,28,34,41,False
79,10,12,0.55,mean_minus_std,-52.87160759089489,-0.42774738313343846,-43.686363297984535,22.12903196283832,-43.686363297984535,-67.72595147963636,27,18,41,False
19,3,36,0.45,mean_minus_std,26.885652900521617,-17.56184411930233,-43.84272973652802,-5.906507302467054,-43.84272973652802,-44.72784907005911,23,3,41,False
109,20,12,0.45,mean_minus_std,-18.012426716779192,-29.252513102874815,-43.960096121143835,-15.607115591278292,-43.960096121143835,-72.5676974598517,28,196,41,False
112,20,12,0.5,mean_minus_std,-18.012426716779192,-29.252513102874815,-43.960096121143835,-15.607115591278292,-43.960096121143835,-72.5676974598517,28,196,41,False
25,3,36,0.55,mean_minus_std,-3.2437717887361988,-17.400699429631292,-43.97815187390561,-10.113315616321458,-43.97815187390561,-59.75535573108728,23,0,41,False
101,10,0,0.45,pos_mean,-7.66186016072575,-20.452256142736037,-39.012972871993135,-44.876013203315274,-44.876013203315274,-75.3062485893867,22,9,41,False
117,20,24,0.45,mean,9.086134812533697,-1.444229954853707,-43.97219073205621,-45.02015226960781,-45.02015226960781,-66.88240553897815,23,113,41,False
163,50,36,0.45,mean_minus_std,-31.931303572672054,-36.954028566980675,-45.24694127109928,-21.25184906017522,-45.24694127109928,-81.49651530861038,27,135,41,False
165,50,36,0.5,mean,42.42013221245918,-49.99722702269891,-45.37885909389824,-26.298116691915226,-45.37885909389824,-71.33150946659259,27,111,41,False
166,50,36,0.5,mean_minus_std,42.42013221245918,-49.9972270226989,-45.37885909389824,-26.298116691915226,-45.37885909389824,-71.33150946659259,27,111,41,False
167,50,36,0.5,pos_mean,42.42013221245919,-49.99722702269891,-45.37885909389825,-26.298116691915247,-45.37885909389825,-71.33150946659259,27,111,41,False
119,20,24,0.45,pos_mean,48.09683310528635,61.50463415829795,-45.556404579168344,-38.77966427126701,-45.556404579168344,-20.278903221734772,21,63,41,False
96,10,36,0.55,mean,87.93586385838282,-31.16813291250931,-46.006904183572075,-26.174256176143302,-46.006904183572075,-48.43615723266869,23,0,41,False
22,3,36,0.5,mean_minus_std,26.885652900521617,-20.465341465097616,-46.4246355655203,-16.949950505122256,-46.4246355655203,-55.09714354789437,23,3,41,False
115,20,12,0.55,mean_minus_std,-59.99411702500442,-5.770403100887837,-46.606809862200585,15.618583984506696,-46.606809862200585,-76.72848219921109,29,18,41,False
150,50,12,0.55,mean,-64.35613947162166,2.3903769649707223,-47.5108518149217,13.611514170575997,-47.5108518149217,-78.23614867441822,29,18,41,False
151,50,12,0.55,mean_minus_std,-66.92070705047497,2.3903769649707254,-47.510851814921715,13.611514170575997,-47.510851814921715,-79.80205277888898,29,18,41,False
152,50,12,0.55,pos_mean,-67.12243877892567,2.390376964970734,-47.510851814921715,13.611514170575997,-47.510851814921715,-79.92522853147497,29,18,41,False
26,3,36,0.55,pos_mean,126.62648655241004,-54.89982096281012,-35.59356502139209,-47.83285302069956,-47.83285302069956,-65.65881490218365,22,0,41,False
23,3,36,0.5,pos_mean,125.1149526250344,-81.27701341862719,-41.3013468908402,-47.83285302069956,-47.83285302069956,-87.09361278158386,21,6,41,False
