strategy,period,return_pct,max_drawdown_pct,trades
devon_donchian,2021-05,-23.880887566086585,-46.26188751273321,46
devon_donchian,2021-06,-2.985890378746947,-45.688960784806,39
devon_donchian,2021-07,7.654458250169327,-47.18139630216971,53
devon_donchian,2021-08,2.47050812205567,-38.30423422301637,49
devon_donchian,2021-09,-9.92595052091243,-44.57790442611989,49
devon_donchian,2021-10,5.729109281504763,-43.56763382931725,58
devon_donchian,2021-11,-6.466873789150995,-45.13217892322155,47
devon_donchian,2021-12,-16.979660428811737,-53.75738487362738,50
devon_donchian,2022-01,-16.492267837476128,-61.70587391969137,49
devon_donchian,2022-02,-8.364554732175334,-67.67755313833437,54
devon_donchian,2022-03,-3.3328502474856636,-68.01752239043934,45
devon_donchian,2022-04,-7.993728449390947,-68.64209359521435,34
devon_donchian,2022-05,-8.202376509048047,-71.87504759363622,37
devon_donchian,2022-06,-8.479502502442216,-73.24994620556767,34
devon_donchian,2022-07,0.1531688894048866,-75.49003382775356,51
devon_donchian,2022-08,-10.863519305900994,-76.17705728712913,46
devon_donchian,2022-09,-10.364782271975558,-78.99325228739175,52
devon_donchian,2022-10,4.997573958019674,-79.03378241411454,32
devon_donchian,2022-11,-21.28348195143569,-82.44953376500715,45
devon_donchian,2022-12,-6.069576898410844,-83.38219408023988,43
devon_donchian,2023-01,11.890166922245982,-83.81608713046587,58
devon_donchian,2023-02,-5.7824070537654375,-83.26755926935856,44
devon_donchian,2023-03,16.578086945083136,-83.73334401447369,47
devon_donchian,2023-04,-6.587504887192197,-81.58576891236021,51
devon_donchian,2023-05,-6.780350146056168,-82.73681808455451,48
devon_donchian,2023-06,-2.356447157526731,-83.49777080523076,56
devon_donchian,2023-07,-6.874195881344958,-83.82881543942472,46
devon_donchian,2023-08,-8.553295790620897,-85.612457082459,52
devon_donchian,2023-09,-3.5671896954435067,-86.11122711095582,45
devon_donchian,2023-10,7.9835972309090675,-86.07831824810071,57
devon_donchian,2023-11,-12.645381657503751,-86.59573085731074,62
devon_donchian,2023-12,-1.4567653006031467,-86.74422296638795,54
devon_donchian,2024-01,-14.76379571296771,-88.75226507029868,62
devon_donchian,2024-02,22.20318345400587,-89.0455109171112,52
devon_donchian,2024-03,-5.615728132539144,-87.23060866790361,57
devon_donchian,2024-04,-3.0094006612724877,-87.36017431898253,37
devon_donchian,2024-05,-1.503846302016787,-87.56638176756377,54
devon_donchian,2024-06,-10.78951107999252,-89.05728284131165,45
devon_donchian,2024-07,1.828678372113357,-89.39918256669613,51
devon_donchian,2024-08,-6.6352394198098015,-89.73686264042912,46
devon_donchian,2024-09,-4.948330853968763,-90.18826765390202,56
devon_donchian,2024-10,1.0492168339212071,-90.56887046935665,52
devon_donchian,2024-11,-1.042971085393063,-90.41762197100888,66
devon_donchian,2024-12,-8.65854949455237,-90.98590972273759,54
devon_donchian,2025-01,0.7066531480709459,-91.08457392536485,58
devon_donchian,2025-02,-6.346029794318264,-91.4289112559278,31
devon_donchian,2025-03,-8.314020349931074,-92.18269020520421,53
devon_donchian,2025-04,-6.609140558262128,-92.73265077230664,59
devon_donchian,2025-05,-0.05659308039367428,-92.73382971085293,51
devon_donchian,2025-06,-1.7648767524857223,-92.90422497472626,52
devon_donchian,2025-07,-1.5093523754438731,-92.94076945256019,56
devon_donchian,2025-08,-1.5043488889520118,-92.98742834223572,44
devon_donchian,2025-09,-1.5987706069244711,-93.37864981884088,49
devon_donchian,2025-10,-1.9466983464814347,-93.19663113316776,45
devon_donchian,2025-11,-13.140046911150582,-94.09059699380809,52
devon_donchian,2025-12,-10.505819636235781,-94.72129162848955,50
devon_donchian,2026-01,-5.8740669877151985,-95.02208246454842,44
devon_donchian,2026-02,-12.055962916310936,-95.72791167620433,39
devon_donchian,2026-03,-5.380335993128016,-95.9600732239056,54
devon_donchian,2026-04,-8.254098444308033,-96.20935439187397,58
devon_donchian,2026-05,-10.971884455601833,-96.62555978020339,52
jesse_example_turtle_rules,2020-01,-21.102588761032482,-27.59397629275776,235
jesse_example_turtle_rules,2020-02,-23.233244173644884,-44.18229980184159,224
jesse_example_turtle_rules,2020-03,20.875897749610516,-50.35036558035024,224
jesse_example_turtle_rules,2020-04,10.226944218128665,-37.87507011052064,206
jesse_example_turtle_rules,2020-05,-31.98925118655911,-51.11978400260515,230
jesse_example_turtle_rules,2020-06,-23.327782344065252,-62.141863959860565,204
jesse_example_turtle_rules,2020-07,-10.748939145929715,-68.41756694072775,206
jesse_example_turtle_rules,2020-08,-29.77331589378327,-76.34812547316521,240
jesse_example_turtle_rules,2020-09,-19.31856561037555,-80.85530781881268,251
jesse_example_turtle_rules,2020-10,-25.36641518030629,-85.71162992248395,240
jesse_example_turtle_rules,2020-11,-16.762678044391656,-89.3427344388738,219
jesse_example_turtle_rules,2020-12,-29.03574994178093,-91.76054431835688,227
jesse_example_turtle_rules,2021-01,-41.7414480533695,-95.39778638403958,242
