symbol,timestamp,funding_interval_hours,funding_rate
ADAUSDT,2023-01-20 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-21 00:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-01-21 08:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-01-21 16:00:00.016000+00:00,8,0.0001
ADAUSDT,2023-01-22 00:00:00+00:00,8,0.0001
ADAUSDT,2023-01-22 08:00:00+00:00,8,0.0001
ADAUSDT,2023-01-22 16:00:00.023000+00:00,8,0.0001
ADAUSDT,2023-01-23 00:00:00.014000+00:00,8,0.0001
ADAUSDT,2023-01-23 08:00:00.014000+00:00,8,0.0001
ADAUSDT,2023-01-23 16:00:00.016000+00:00,8,0.0001
ADAUSDT,2023-01-24 00:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-01-24 08:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-01-24 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-25 00:00:00.012000+00:00,8,0.0001
ADAUSDT,2023-01-25 08:00:00+00:00,8,6.88e-06
ADAUSDT,2023-01-25 16:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-01-26 00:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-01-26 08:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-01-26 16:00:00.020000+00:00,8,0.0001
ADAUSDT,2023-01-27 00:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-01-27 08:00:00+00:00,8,0.0001
ADAUSDT,2023-01-27 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-28 00:00:00.009000+00:00,8,0.0001
ADAUSDT,2023-01-28 08:00:00.018000+00:00,8,0.0001
ADAUSDT,2023-01-28 16:00:00.005000+00:00,8,0.0001
ADAUSDT,2023-01-29 00:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-01-29 08:00:00+00:00,8,0.0001
ADAUSDT,2023-01-29 16:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-01-30 00:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-01-30 08:00:00+00:00,8,0.0001
ADAUSDT,2023-01-30 16:00:00+00:00,8,0.0001
ADAUSDT,2023-01-31 00:00:00.005000+00:00,8,0.0001
ADAUSDT,2023-01-31 08:00:00+00:00,8,0.0001
ADAUSDT,2023-01-31 16:00:00.007000+00:00,8,0.0001
ADAUSDT,2023-02-01 00:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-02-01 08:00:00+00:00,8,0.0001
ADAUSDT,2023-02-01 16:00:00.012000+00:00,8,0.0001
ADAUSDT,2023-02-02 00:00:00.004000+00:00,8,0.0001
ADAUSDT,2023-02-02 08:00:00.023000+00:00,8,0.00014391
ADAUSDT,2023-02-02 16:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-02-03 00:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-02-03 08:00:00+00:00,8,0.0001
ADAUSDT,2023-02-03 16:00:00+00:00,8,0.0001
ADAUSDT,2023-02-04 00:00:00.010000+00:00,8,0.00016389
ADAUSDT,2023-02-04 08:00:00+00:00,8,0.0001
ADAUSDT,2023-02-04 16:00:00+00:00,8,0.0001
ADAUSDT,2023-02-05 00:00:00.016000+00:00,8,0.0001
ADAUSDT,2023-02-05 08:00:00.009000+00:00,8,0.0001
ADAUSDT,2023-02-05 16:00:00.018000+00:00,8,0.0001
ADAUSDT,2023-02-06 00:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-02-06 08:00:00+00:00,8,0.0001
ADAUSDT,2023-02-06 16:00:00.012000+00:00,8,0.0001
ADAUSDT,2023-02-07 00:00:00.004000+00:00,8,0.0001
ADAUSDT,2023-02-07 08:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-02-07 16:00:00.018000+00:00,8,0.0001
ADAUSDT,2023-02-08 00:00:00.009000+00:00,8,0.0001
ADAUSDT,2023-02-08 08:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-02-08 16:00:00+00:00,8,0.0001
ADAUSDT,2023-02-09 00:00:00.014000+00:00,8,0.0001
ADAUSDT,2023-02-09 08:00:00.006000+00:00,8,0.0001
ADAUSDT,2023-02-09 16:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-02-10 00:00:00.012000+00:00,8,0.0001
ADAUSDT,2023-02-10 08:00:00.005000+00:00,8,4.821e-05
ADAUSDT,2023-02-10 16:00:00.020000+00:00,8,0.0001
ADAUSDT,2023-02-11 00:00:00.007000+00:00,8,1.08e-05
ADAUSDT,2023-02-11 08:00:00.002000+00:00,8,2.634e-05
ADAUSDT,2023-02-11 16:00:00.021000+00:00,8,1.383e-05
ADAUSDT,2023-02-12 00:00:00.004000+00:00,8,2.838e-05
ADAUSDT,2023-02-12 08:00:00+00:00,8,0.0001
ADAUSDT,2023-02-12 16:00:00.002000+00:00,8,5.615e-05
ADAUSDT,2023-02-13 00:00:00.006000+00:00,8,2.741e-05
ADAUSDT,2023-02-13 08:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-02-13 16:00:00.002000+00:00,8,0.0001
ADAUSDT,2023-02-14 00:00:00.013000+00:00,8,0.0001
ADAUSDT,2023-02-14 08:00:00.014000+00:00,8,8.08e-05
ADAUSDT,2023-02-14 16:00:00.016000+00:00,8,1.721e-05
ADAUSDT,2023-02-15 00:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-02-15 08:00:00+00:00,8,0.0001
ADAUSDT,2023-02-15 16:00:00.005000+00:00,8,7.587e-05
ADAUSDT,2023-02-16 00:00:00.019000+00:00,8,-0.00017298
ADAUSDT,2023-02-16 08:00:00+00:00,8,0.0001
ADAUSDT,2023-02-16 16:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-02-17 00:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-02-17 08:00:00.016000+00:00,8,0.0001
ADAUSDT,2023-02-17 16:00:00+00:00,8,0.0001
ADAUSDT,2023-02-18 00:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-02-18 08:00:00+00:00,8,0.0001
ADAUSDT,2023-02-18 16:00:00.007000+00:00,8,0.0001
ADAUSDT,2023-02-19 00:00:00.019000+00:00,8,0.0001
ADAUSDT,2023-02-19 08:00:00.005000+00:00,8,0.0001
ADAUSDT,2023-02-19 16:00:00.003000+00:00,8,0.0001
ADAUSDT,2023-02-20 00:00:00.006000+00:00,8,0.0001
ADAUSDT,2023-02-20 08:00:00.008000+00:00,8,0.0001
ADAUSDT,2023-02-20 16:00:00.006000+00:00,8,0.0001
ADAUSDT,2023-02-21 00:00:00.001000+00:00,8,0.0001
ADAUSDT,2023-02-21 08:00:00.004000+00:00,8,0.0001
ADAUSDT,2023-02-21 16:00:00.011000+00:00,8,0.0001
ADAUSDT,2023-02-22 00:00:00.009000+00:00,8,0.0001
ADAUSDT,2023-02-22 08:00:00.010000+00:00,8,0.0001
ADAUSDT,2023-02-22 16:00:00+00:00,8,0.0001
