month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate
2025-01,0.05895423261816383,0.9999000049998333,1.060726692945635,-0.17834988382019334,50.2,12,6.072669294563493,-17.834988382019333,vol_slip_20pct_cap40bps,3
2025-02,0.08865075805113024,1.060600682407408,1.1590549683987004,-0.07277354603154407,20.3,13,9.269897336137367,-7.277354603154407,vol_slip_20pct_cap40bps,3
2025-03,0.26806552873672834,1.1585460997715975,1.5153864961654167,-0.3255120185368895,65.9,11,30.743281162843218,-32.55120185368895,vol_slip_20pct_cap40bps,3
2025-04,0.02411700025560267,1.515205718023625,1.5523773338043978,-0.3126460408835514,80.8,24,2.441016713068511,-31.264604088355142,vol_slip_20pct_cap40bps,3
2025-05,0.1443994654756814,1.5521896337827836,1.7935322243678251,-0.21024046611329628,48.2,14,15.534553701092136,-21.024046611329627,vol_slip_20pct_cap40bps,3
2025-06,0.06445552182037137,1.7933126491878628,1.9129422598350678,-0.19319049304313474,48.0,12,6.657813773562471,-19.319049304313474,vol_slip_20pct_cap40bps,3
2025-07,0.03698021636729477,1.9126831268257907,1.9850075612482527,-0.08444505052235263,32.4,14,3.7672491703643063,-8.444505052235263,vol_slip_20pct_cap40bps,3
2025-08,0.07834662607771518,1.9846547231170386,2.146780653301939,-0.11234661917303568,32.2,12,8.149746893253983,-11.234661917303567,vol_slip_20pct_cap40bps,3
2025-09,0.05096485660425748,2.146454318282894,2.2590270370509153,-0.10596299660742314,32.2,12,5.228591173314867,-10.596299660742314,vol_slip_20pct_cap40bps,3
2025-10,0.09622614745709351,2.2587578490531777,2.4872068987602676,-0.1730306247277369,52.7,24,10.100802600717573,-17.30306247277369,vol_slip_20pct_cap40bps,3
2025-11,0.1869238835180015,2.4869003632013977,2.998416263126055,-0.11635446360428814,36.2,14,20.55355204348295,-11.635446360428814,vol_slip_20pct_cap40bps,3
2025-12,0.14154987109257788,2.9971576849945105,3.4543493149838786,-0.12173742294698109,32.2,12,15.205795721721515,-12.173742294698108,vol_slip_20pct_cap40bps,3
2026-01,0.09565009738476307,3.453927612384588,3.8010760794954535,-0.22082684453436274,68.3,13,10.037397289486204,-22.082684453436276,vol_slip_20pct_cap40bps,3
2026-02,0.20547574980324337,3.7234361283043134,4.6681364982289,-0.2645354709225616,60.1,11,22.81091987110504,-26.45354709225616,vol_slip_20pct_cap40bps,3
2026-03,0.19812290564975255,4.667594786105027,5.690982251456972,-0.3137333557167562,36.0,12,21.911222039375676,-31.37333557167562,vol_slip_20pct_cap40bps,3
2026-04,0.17151898367726004,5.690017590657292,6.755803036042606,-0.14851089829005715,36.8,20,18.710667816843607,-14.851089829005716,vol_slip_20pct_cap40bps,3
2026-05,0.12905395823114046,6.75490900684852,7.6864251296290504,-0.09642408568603822,32.2,12,13.775151356863446,-9.642408568603821,vol_slip_20pct_cap40bps,3
2026-06,0.3601550492342817,7.685388794628876,11.018887568751628,-0.21816039631605422,54.7,12,43.35516684182412,-21.81603963160542,vol_slip_20pct_cap40bps,3
2025-01,0.0616233260271797,0.9999000049998333,1.0635616532744732,-0.17738171338157527,50.2,12,6.356165327447227,-17.738171338157528,funding_1bp_8h,3
2025-02,0.09961001175098969,1.0634553024267765,1.1749590991757877,-0.06805267505304657,20.3,13,10.473999843670946,-6.805267505304657,funding_1bp_8h,3
2025-03,0.34743639671692955,1.1745212462443673,1.6630773883153935,-0.28914021143940316,65.9,11,41.5434281484367,-28.914021143940317,funding_1bp_8h,3
2025-04,0.05641635723766135,1.6629110888916718,1.7595992631506454,-0.29701792200689003,80.8,24,5.803811386854285,-29.701792200689002,funding_1bp_8h,3
2025-05,0.15138847474076586,1.7594233120220335,2.047203194883488,-0.18550098925558545,48.2,14,16.34485406738837,-18.550098925558544,funding_1bp_8h,3
2025-06,0.08508346739832531,2.0469984847996745,2.229011099262107,-0.18341429132356923,48.0,12,8.880794287201454,-18.34142913235692,funding_1bp_8h,3
2025-07,0.04429881562407402,2.2287882092968645,2.3299733960216096,-0.08117504976178536,32.4,14,4.529465860125681,-8.117504976178536,funding_1bp_8h,3
2025-08,0.08536911632181217,2.3297404103314863,2.5376183046867737,-0.10342581402602935,32.2,12,8.911900411381923,-10.342581402602935,funding_1bp_8h,3
2025-09,0.05402304629193251,2.5373645555439737,2.678478775036273,-0.10305546933616472,32.2,12,5.550892744165425,-10.305546933616473,funding_1bp_8h,3
2025-10,0.10522717925692004,2.678210940550717,2.9756907334724843,-0.16796022034723523,52.7,24,11.09629694311074,-16.796022034723524,funding_1bp_8h,3
2025-11,0.19220273295069612,2.975393179277095,3.606287768609327,-0.11273542396814462,36.2,14,21.191618740598162,-11.273542396814463,funding_1bp_8h,3
2025-12,0.16623769108101535,3.605927157863304,4.258498423500881,-0.11358162698235819,32.2,12,18.085374677213338,-11.35816269823582,funding_1bp_8h,3
2026-01,0.09749108763232713,4.258072594950313,4.694575545977108,-0.21341462615316042,68.3,13,10.240161651101442,-21.341462615316043,funding_1bp_8h,3
2026-02,0.2524105126552714,4.654103108800423,6.042502308782238,-0.2476481810127552,60.1,11,28.7124309664198,-24.76481810127552,funding_1bp_8h,3
2026-03,0.20886661464390346,6.041898088762864,7.44605848766144,-0.29573941977830365,36.0,12,23.228061937838618,-29.573941977830366,funding_1bp_8h,3
2026-04,0.18134948749230922,7.445313919041724,8.926588703527987,-0.11883906195984129,36.8,20,19.88340836056013,-11.883906195984128,funding_1bp_8h,3
2026-05,0.12590523583545782,8.925696089289088,10.124310922679296,-0.0957627452961477,32.2,12,13.417468407389865,-9.57627452961477,funding_1bp_8h,3
2026-06,0.3713329396966997,10.123298542206895,14.676865716702043,-0.21263684384839265,54.7,12,44.96656442886076,-21.263684384839266,funding_1bp_8h,3
2025-01,0.05314457602717978,0.9999000049998333,1.0545821013888828,-0.18111714796228773,50.2,12,5.45821013888832,-18.111714796228775,funding_3bp_8h,3
2025-02,0.09380063675098971,1.0544766484514785,1.1582905017727785,-0.06882354247405764,20.3,13,9.834075530706077,-6.882354247405765,funding_3bp_8h,3
2025-03,0.3452188967169295,1.157858136795367,1.635852556115163,-0.2907675476793615,65.9,11,41.22990334561742,-29.07675476793615,funding_3bp_8h,3
2025-04,0.04223635723766142,1.6356889790385416,1.7064248770323045,-0.30295356980840404,80.8,24,4.314100354174477,-30.295356980840403,funding_3bp_8h,3
2025-05,0.13427722474076592,1.7062542430764411,1.9516549237032361,-0.1960958155675887,48.2,14,14.370984036362945,-19.60958155675887,funding_3bp_8h,3
2025-06,0.07546721739832535,1.9514597679688153,2.1046410054732037,-0.18717465983381454,48.0,12,7.838787477842435,-18.717465983381455,funding_3bp_8h,3
