selector_id,family,strict_no_future,posthoc_selection,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,annualized_sharpe,exposure_pct,turnover,orders,unique_units_used,unit_index,unit_id,expert_index,expert_name,leverage,win_rate_pct,profit_factor,notes
static_single_expert,static_single_expert,True,True,False,99533.80748575978,-44.69316282346553,-44.69316282346553,-75.40638870596598,6,0,367.7033748841985,-99.95062986570899,0.16024288899085093,99.87745098039215,1320.0,165,1,127,expert_0031_ret_state_flip_lev8,31,ret_state_flip,8.0,49.75575876837597,1.0026464784430746,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,2062.084160764684,356.76349248181214,356.76349248181214,-83.57130334218027,6,0,57.86710370354873,-99.9687756425697,0.04736142879264997,99.72137439881614,344.0,43,1,43,expert_0010_ret_state_lev8,10,ret_state,8.0,50.08289374529012,1.0007930417551991,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-54.97321956785537,1498.1761595796331,-54.97321956785537,-85.25547399384806,6,0,4635.82150294964,-99.09811698433533,0.41033779192746883,95.52233629300777,936.0,117,1,427,expert_0106_gap_adx_state_lev8,106,gap_adx_state,8.0,50.10832334822023,1.0069236168806377,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-95.11128240302712,507.4193042673075,-95.11128240302712,-90.53944756014633,6,0,-3.3120222670487,-99.81738757111819,-0.003581867545167767,95.52233629300777,1640.0,205,1,371,expert_0092_gap_adx_state_lev8,92,gap_adx_state,8.0,50.04175592752623,0.999954166651506,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,12.141981807941006,18.348002063019848,12.141981807941006,-18.08326597858719,7,0,-32.90289020373297,-56.773340217367085,-0.3396740223417813,95.37435257121717,27.0,27,1,444,expert_0111_gap_adx_state_flip_lev1,111,gap_adx_state_flip,1.0,49.96424025698527,0.9943255500646215,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,11.67087874510048,18.348002063019848,11.67087874510048,-18.42739423165724,7,0,-32.58856908774223,-56.38762842652862,-0.3356936709355365,95.37435257121717,31.0,31,1,388,expert_0097_gap_adx_state_flip_lev1,97,gap_adx_state_flip,1.0,49.96545245166374,0.9943921432476225,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,11.67087874510048,18.348002063019848,11.67087874510048,-18.42739423165724,7,0,-33.18476192940753,-56.773340217367085,-0.34326205675700194,95.37435257121717,27.0,27,1,420,expert_0105_gap_adx_state_flip_lev1,105,gap_adx_state_flip,1.0,49.96060367294988,0.994265696594601,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,1.3012367743137734,9.697309082522091,1.3012367743137734,-20.935407908758698,7,0,-58.14962321938235,-71.83095950082514,-0.7160161821158714,99.88785608583056,611.0,611,1,72,expert_0018_ret_state_lev1,18,ret_state,1.0,49.830437852289954,0.9882624363564256,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-1.5577433519724202,40.5922716806813,-1.5577433519724202,-20.985137083817378,7,2,13.390586981391584,-59.36881726120144,0.10447053695037652,99.22192933777283,283.0,283,1,352,expert_0088_ret_state_lev1,88,ret_state,1.0,50.06233760180837,1.0017375985285044,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-17.642648810095007,67.46701851541283,-17.642648810095007,-22.5497924105296,7,2,9.076097559383243,-63.658695912986985,0.07228642766422025,99.19302626711061,177.0,177,1,360,expert_0090_ret_state_lev1,90,ret_state,1.0,50.113056248397406,1.0012063600216512,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,-26.55344006381598,13.37177635611169,-26.55344006381598,-28.398067191167257,7,0,46.239526936941516,-53.82368132545163,0.3157030873614051,99.5548927118017,239.0,239,1,320,expert_0080_ret_state_lev1,80,ret_state,1.0,50.134129205328,1.0052236367367657,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,25.75824083812572,40.062495923085514,25.75824083812572,-32.896486872651096,7,0,-54.97977856987688,-81.31455884036507,-0.3396740223417813,95.37435257121717,54.0,27,1,445,expert_0111_gap_adx_state_flip_lev2,111,gap_adx_state_flip,2.0,49.96424025698527,0.9943255500646215,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,24.703851597029345,40.062495923085514,24.703851597029345,-33.459099881625335,7,0,-54.556989823618984,-80.97961045737465,-0.3356936709355365,95.37435257121717,62.0,31,1,389,expert_0097_gap_adx_state_flip_lev2,97,gap_adx_state_flip,2.0,49.96545245166374,0.9943921432476225,Single expert+leverage held for the whole backtest; best row is selected after the scan.
static_single_expert,static_single_expert,True,True,False,24.703851597029345,40.062495923085514,24.703851597029345,-33.459099881625335,7,0,-55.357239615700514,-81.31455884036507,-0.34326205675700194,95.37435257121717,54.0,27,1,421,expert_0105_gap_adx_state_flip_lev2,105,gap_adx_state_flip,2.0,49.96060367294988,0.994265696594601,Single expert+leverage held for the whole backtest; best row is selected after the scan.
