month,oracle_candidate_id,oracle_hard_guard_rank,oracle_return_first_rank,oracle_train_return_pct,oracle_train_losing_months,oracle_train_min_monthly_return_pct,oracle_train_min_monthly_orders,oracle_train_hard_ok
2024-12,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,363,508,-100.0,51,-99.54270910471531,38,False
2025-01,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps100,129,249,-99.99746073041254,37,-99.96852490817024,0,False
2025-02,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback1536_threshold_bps50,100,80,-93.57441602066845,37,-90.35381986833288,0,False
2025-03,single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback96_threshold_bps20,395,510,-100.0,55,-96.16148261929447,0,False
2025-04,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps100,469,530,-100.0,59,-97.44543808592904,0,False
2025-05,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,238,386,-99.99999999183498,46,-88.63747754809937,0,False
2025-06,single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,375,490,-100.0,57,-92.50915999584709,42,False
2025-07,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,222,386,-99.99999999520756,46,-98.69890500988404,38,False
2025-08,single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback96_threshold_bps20,312,468,-100.0,56,-95.69319367875303,80,False
2025-09,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,146,32,-68.09029175667595,43,-94.99028328659108,0,False
2025-10,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,122,201,-99.99581944892478,43,-96.0573910532554,0,False
2025-11,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps100,27,200,-99.9956421268686,39,-97.29099854640091,0,False
2025-12,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback96_threshold_bps50,451,503,-100.0,66,-96.84603013755442,119,False
2026-01,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,64,241,-99.99950987690379,43,-93.86308281117216,0,False
2026-02,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback96_threshold_bps20,279,436,-100.0,59,-99.05671219714452,0,False
2026-03,single_symbol_symbol_reversal_lev4p0_symbolETHUSDT_lookback1536_threshold_bps50,103,178,-99.98729969113703,46,-80.17620392448916,1,False
2026-04,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,442,492,-100.0,69,-98.5130502147152,0,False
2026-05,single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback384_threshold_bps20,137,397,-99.99999999998843,48,-91.85496771763616,0,False
