month,selected_return_pct,selected_orders,selected_log_return,selected_cost_log,selected_turnover,selected_max_drawdown_pct,selected_candidate_id,selected_family,selected_rule,selected_leverage,train_hard_ok_candidate_count,train_min10_orders_candidate_count,train_return_pct,train_losing_months,train_min_monthly_return_pct,train_min_monthly_orders,train_turnover,oracle_candidate_id,oracle_family,oracle_rule,oracle_leverage,oracle_return_pct,oracle_orders,oracle_log_return,oracle_cost_log,oracle_turnover,oracle_max_drawdown_pct,candidate_count,positive_candidate_count,order10_candidate_count,positive_order10_candidate_count,best_candidate_id,best_return_pct,best_orders,best_order10_candidate_id,best_order10_return_pct,best_order10_orders,median_order10_return_pct,p90_order10_return_pct,oracle_hard_guard_rank,oracle_return_first_rank,oracle_train_return_pct,oracle_train_losing_months,oracle_train_min_monthly_return_pct,oracle_train_min_monthly_orders,oracle_train_hard_ok,selected_symbol,selected_lookback,selected_threshold_bps,oracle_symbol,oracle_lookback,oracle_threshold_bps,selected_gross_log_return,selected_gross_return_pct,selected_month_hard_ok,selected_equals_oracle,same_symbol_as_oracle,oracle_log_gap_vs_selected,root_cause
2023-11,-2.8599438152309142,42,-0.0290163706810254,0.042,42.0,-9.022238827157048,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,1.0,0,324,-16.109107854336703,20,-31.01136510543604,2,1117.0,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,196.36271863078653,88,1.0864139189249116,0.456,456.0,-99.9505026910444,744,87,726,78,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,196.36271863078653,88,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,196.36271863078653,88,-31.581988334232364,0.4792809050326752,214,209,-99.80525715020157,31,-96.0573910532554,0,False,BTCUSDT,1536,50,AVAXUSDT,384,20,0.012983629318974604,1.3068282606346182,False,False,False,1.115430289605937,FEES_TURNED_GROSS_WIN_TO_NET_LOSS
2023-12,-9.351996233117388,88,-0.0981862703547719,0.089,89.0,-16.651395885570352,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-27.068435782160066,20,-31.601670877044896,2,1225.0,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,single_symbol,symbol_reversal,4.0,217.7691746695851,162,1.156155067405026,0.8240000000000001,824.0,-99.99999999999996,744,132,708,114,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps20,250.12782820143207,2,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps20,217.7691746695851,162,-37.62090795865437,9.509686298230882,381,546,-99.99999999999996,41,-92.71363381483174,20,False,BTCUSDT,1536,100,LINKUSDT,384,20,-0.009186270354771903,-0.9144205478243017,False,False,False,1.254341337759798,WRONG_CANDIDATE_MARKET_LOSS
2024-01,-9.692317851526688,56,-0.1019476555572034,0.056,56.0,-24.978642856519283,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-33.88899292056604,21,-31.601670877044896,2,1314.0,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,single_symbol,symbol_reversal,4.0,217.13985647369356,78,1.1541726782087247,0.392,392.0,-99.99999999999996,744,123,708,105,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,217.13985647369356,78,single_symbol_symbol_reversal_lev4p0_symbolSOLUSDT_lookback384_threshold_bps20,217.13985647369356,78,-37.4789464520911,5.950911054150709,358,504,-99.9999999999987,41,-98.36215216596229,0,False,BTCUSDT,1536,100,SOLUSDT,384,20,-0.045947655557203405,-4.490804536152515,False,False,False,1.2561203337659281,WRONG_CANDIDATE_MARKET_LOSS
2024-02,17.263950340909197,1,0.1592571937141869,0.001,1.0,-27.00548407961909,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-40.29668186155008,22,-31.601670877044896,2,1370.0,single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,216.89263136945104,56,1.1533928282120376,0.224,224.0,-99.99998589068484,744,144,636,90,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback1536_threshold_bps20,241.55787968396208,2,single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,216.89263136945104,56,-40.2823318368373,10.5726322430977,225,297,-99.99906963888984,33,-93.56754548517635,42,False,BTCUSDT,1536,100,ETHUSDT,384,50,0.1602571937141869,17.38127294277414,False,False,False,0.9941356344978507,TOO_FEW_TRADES
2024-03,-21.88514324386728,72,-0.2469899198821282,0.072,72.0,-32.243866284370846,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-29.98953066625306,22,-31.601670877044896,1,1371.0,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,single_symbol,symbol_reversal,4.0,234.56228936700305,202,1.2076528925878864,1.064,1064.0,-100.0,744,141,726,132,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,234.56228936700305,202,single_symbol_symbol_reversal_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps20,234.56228936700305,202,-37.337023540472046,19.544423750286732,441,567,-100.0,46,-98.5130502147152,0,False,BTCUSDT,1536,100,AVAXUSDT,96,20,-0.1749899198821282,-16.053451736242675,False,False,False,1.4546428124700146,WRONG_CANDIDATE_MARKET_LOSS
2024-04,3.383257980798793,19,0.0332728478972604,0.02,20.0,-34.89508611238826,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-45.31142216564735,23,-31.601670877044896,1,1443.0,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,218.3342921608589,67,1.1579318778436336,0.384,384.0,-99.99999998050092,744,141,684,117,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,218.3342921608589,67,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback384_threshold_bps20,218.3342921608589,67,-39.98456122434422,18.618323219429126,259,401,-99.99999995428406,38,-88.63747754809937,0,False,BTCUSDT,1536,100,DOGEUSDT,384,20,0.0532728478972604,5.471738328342712,True,False,False,1.1246590299463732,STRICT_MONTH_OK_BUT_BEHIND_ORACLE
2024-05,3.406521489865244,2,0.033497844598975,0.002,2.0,-28.919190671636454,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-43.46116649148127,23,-31.601670877044896,1,1463.0,single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,88.13164430955676,59,0.6319717674803681,0.24,240.0,-99.99997493601472,744,96,690,69,single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback1536_threshold_bps20,94.23684201565376,2,single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback384_threshold_bps50,88.13164430955676,59,-38.709218349463185,0.011689516061202797,208,275,-99.99815256693331,34,-93.56754548517635,42,False,BTCUSDT,1536,100,ETHUSDT,384,50,0.035497844598975,3.6135414838322832,False,False,False,0.5984739228813931,TOO_FEW_TRADES
2024-06,6.027271033524295,2,0.0585261489358933,0.002,2.0,-26.86117920029909,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-41.53515897789444,23,-31.601670877044896,1,1465.0,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,83.69628905387508,64,0.6081136049068695,0.296,296.0,-99.89183304165772,744,99,654,54,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,83.69628905387508,64,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,83.69628905387508,64,-34.54758450267091,-2.5806070991738053,138,165,-99.44508273264047,33,-96.0573910532554,0,False,BTCUSDT,1536,100,AVAXUSDT,384,20,0.0605261489358933,6.2395377715738,False,False,False,0.5495874559709762,TOO_FEW_TRADES
2024-07,-1.2097126929922708,5,-0.0121708926759141,0.005,5.0,-24.35745674565316,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-38.01132455017304,23,-31.601670877044896,1,1467.0,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,single_symbol,symbol_reversal,4.0,118.95048668824852,156,0.7836754300851101,0.624,624.0,-100.0,744,96,690,69,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,118.95048668824852,156,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,118.95048668824852,156,-34.10189437127909,-0.03054246527059857,392,544,-100.0,48,-92.24812400713026,27,False,BTCUSDT,1536,100,LINKUSDT,384,100,-0.0071708926759141,-0.7145243171596594,False,False,False,0.7958463227610242,WRONG_CANDIDATE_AND_TOO_FEW_TRADES
2024-08,-8.10883261589328,53,-0.0845652724085715,0.053,53.0,-29.20638808025957,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-38.761209425307385,24,-31.601670877044896,1,1472.0,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,60.17941264695368,57,0.4711243300693678,0.288,288.0,-99.9383343828646,744,81,702,60,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,60.17941264695368,57,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback384_threshold_bps20,60.17941264695368,57,-34.07767936480685,-1.4710674689325023,124,161,-99.48413878176316,34,-96.0573910532554,0,False,BTCUSDT,1536,100,AVAXUSDT,384,20,-0.03156527240857151,-3.1072289855730073,False,False,False,0.5556896024779393,WRONG_CANDIDATE_MARKET_LOSS
2024-09,7.433644271200124,6,0.0717032084011528,0.006,6.0,-29.11575294662598,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-43.72696044900663,25,-31.601670877044896,1,1525.0,single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback384_threshold_bps20,single_symbol,symbol_momentum,4.0,69.33342017147805,28,0.5266994857458386,0.12,120.0,-99.9999999999658,744,84,660,42,single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback1536_threshold_bps20,91.7227566321708,2,single_symbol_symbol_momentum_lev4p0_symbolADAUSDT_lookback384_threshold_bps20,69.33342017147805,28,-37.655547708577245,-2.926490373431656,202,406,-99.99999999768467,37,-91.85496771763616,0,False,BTCUSDT,1536,100,ADAUSDT,384,20,0.0777032084011528,8.080183815843768,False,False,False,0.4549962773446858,TOO_FEW_TRADES
2024-10,3.4935745341438063,2,0.034339342994466,0.002,2.0,-26.498468927502085,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-39.543822868194056,25,-31.601670877044896,1,1531.0,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,single_symbol,symbol_reversal,4.0,60.29111392262767,156,0.4718214380461493,0.624,624.0,-100.0,744,81,708,63,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback1536_threshold_bps20,178.72856327835817,2,single_symbol_symbol_reversal_lev4p0_symbolLINKUSDT_lookback384_threshold_bps100,60.29111392262767,156,-34.62390522588399,-2.0594743366227393,349,516,-100.0,49,-92.24812400713026,27,False,BTCUSDT,1536,100,LINKUSDT,384,100,0.036339342994466,3.7007688084216284,False,False,False,0.4374820950516833,TOO_FEW_TRADES
2024-11,6.345542159017881,2,0.0615234380802167,0.002,2.0,-22.445478841011337,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-37.4317412596004,25,-31.601670877044896,1,1533.0,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,single_symbol,symbol_momentum,4.0,5933.561822805518,62,4.099922613063856,0.28,280.0,-99.99999999758344,744,198,618,135,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,5933.561822805518,62,single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback384_threshold_bps50,5933.561822805518,62,-45.53144025238079,45.6127276004814,88,383,-99.99999991770295,35,-99.07731136952329,37,False,BTCUSDT,1536,100,XRPUSDT,384,50,0.0635234380802167,6.558446076285218,False,False,False,4.038399174983639,TOO_FEW_TRADES
2024-12,-21.67769972642057,81,-0.2443378180033192,0.082,82.0,-36.56967830796178,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-33.46144602306496,25,-31.601670877044896,1,1535.0,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,single_symbol,symbol_reversal,4.0,597.8761175886285,198,1.9428714190577776,0.8,800.0,-100.0,744,138,708,120,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,597.8761175886285,198,single_symbol_symbol_reversal_lev4p0_symbolXRPUSDT_lookback384_threshold_bps100,597.8761175886285,198,-43.26897067871434,14.401587029825949,363,508,-100.0,51,-99.54270910471531,38,False,BTCUSDT,1536,100,XRPUSDT,384,100,-0.1623378180033192,-14.984604128828726,False,False,False,2.1872092370610967,WRONG_CANDIDATE_MARKET_LOSS
2025-01,0.2442895398619082,12,0.0024399163802884,0.012,12.0,-37.11465319045444,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-47.88547395648721,26,-31.601670877044896,1,1617.0,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps100,single_symbol,symbol_momentum,4.0,175.07758519164872,82,1.0118829998575,0.336,336.0,-99.99852186822422,744,123,684,96,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps100,175.07758519164872,82,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback384_threshold_bps100,175.07758519164872,82,-37.17983286941319,4.85721808601273,129,249,-99.99746073041254,37,-99.96852490817024,0,False,BTCUSDT,1536,100,SOLUSDT,384,100,0.0144399163802884,1.4544675603618495,True,False,False,1.0094430834772117,STRICT_MONTH_OK_BUT_BEHIND_ORACLE
2025-02,5.702252550246345,46,0.0554560174486008,0.046,46.0,-38.27795862958586,single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,0,324,-47.75816362061431,26,-31.601670877044896,1,1629.0,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,4.0,151.43944784456326,29,0.9220320105258668,0.136,136.0,-99.99830649309344,744,111,708,93,single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback1536_threshold_bps20,164.89605901045363,2,single_symbol_symbol_momentum_lev4p0_symbolDOGEUSDT_lookback1536_threshold_bps50,151.43944784456326,29,-34.248061438158345,7.888356459319791,100,80,-93.57441602066845,37,-90.35381986833288,0,False,BTCUSDT,1536,100,DOGEUSDT,1536,50,0.1014560174486008,10.67812382587061,True,False,False,0.866575993077266,STRICT_MONTH_OK_BUT_BEHIND_ORACLE
