month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-12,0.11429240871934118,2.8329990947120227,3.176653582062924,-0.18627705681715256,63.800000000000004,12,12.107989049611522,-18.627705681715256,2C_cost0.0020_delay2,2C,0.002,0.004,2
2026-01,0.06635822350373846,3.176018314875348,3.394602035997219,-0.2247441729359564,68.3,13,6.860944963119309,-22.47441729359564,2C_cost0.0020_delay2,2C,0.002,0.004,2
2026-02,0.2349638581148887,3.3388564312302877,4.293706696232959,-0.25620292264868194,60.1,11,26.48630533716205,-25.620292264868194,2C_cost0.0020_delay2,2C,0.002,0.004,2
2026-03,0.14426776144044903,4.292848040762121,4.960061565583081,-0.3092431118604466,36.0,12,15.519338336145406,-30.924311186044662,2C_cost0.0020_delay2,2C,0.002,0.004,2
2026-04,0.16229694009932813,4.959069652464583,5.834071302005883,-0.18969887463406854,36.0,12,17.620945322279603,-18.969887463406852,2C_cost0.0020_delay2,2C,0.002,0.004,2
2026-05,0.12816136852998508,5.83290460441913,6.631801333935191,-0.09071572251917659,32.2,12,13.67364213829596,-9.071572251917658,2C_cost0.0020_delay2,2C,0.002,0.004,2
2026-06,0.29978962148755534,6.630475106295589,8.950112331312308,-0.2511519300863698,54.7,12,34.957485615774075,-25.115193008636982,2C_cost0.0020_delay2,2C,0.002,0.004,2
2025-01,0.012677047991115867,0.9998000199986667,1.012757742392401,-0.20011256935288224,66.0,12,1.2757742392401017,-20.011256935288223,2C_cost0.0020_delay3,2C,0.002,0.004,3
2025-02,0.07239946344533307,1.0125552110977272,1.0888003691918142,-0.11605048015198471,20.3,13,7.508471534345462,-11.605048015198472,2C_cost0.0020_delay3,2C,0.002,0.004,3
2025-03,0.18188279234076868,1.0882317167581057,1.3059872964991937,-0.17425315243288508,50.9,11,19.947359814783216,-17.42531524328851,2C_cost0.0020_delay3,2C,0.002,0.004,3
