candidate_id,hard_pass_complete_years,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,max_drawdown_pct,bucket_family,lookback_months,min_abs_mean_bps,min_samples,leverage
calendar_session_lb24_thr0p0_min20_lev2p0,False,-99.97073804362292,-98.76357655392555,-90.78462329617753,-13.359356641372644,-70.3584189174769,-98.76357655392555,32,-54.753533052919536,2,2367,9304.0,9.304,-99.99994351358619,session,24.0,0.0,20,2.0
calendar_session_lb24_thr0p0_min50_lev2p0,False,-99.97073804362292,-98.76357655392555,-90.78462329617753,-13.359356641372644,-70.3584189174769,-98.76357655392555,32,-54.753533052919536,2,2367,9304.0,9.304,-99.99994351358619,session,24.0,0.0,50,2.0
calendar_session_lb24_thr0p0_min20_lev4p0,False,-99.9999914373791,-99.98471257061998,-99.15076832206647,-24.933989184031425,-91.21376670928208,-99.98471257061998,32,-79.52757228806755,2,2367,18608.0,18.608,-99.9999999999681,session,24.0,0.0,20,4.0
calendar_session_lb24_thr0p0_min50_lev4p0,False,-99.9999914373791,-99.98471257061998,-99.15076832206647,-24.933989184031425,-91.21376670928208,-99.98471257061998,32,-79.52757228806755,2,2367,18608.0,18.608,-99.9999999999681,session,24.0,0.0,50,4.0
calendar_session_lbexpanding_thr0p0_min20_lev1p0,False,-98.74805694091948,-68.47588850120472,-59.18630538405121,-80.63125610725999,-49.76176714264129,-80.63125610725999,33,-32.734505913447364,57,2597,5112.0,5.111999999999999,-99.92969357966082,session,,0.0,20,1.0
calendar_session_lbexpanding_thr0p0_min50_lev1p0,False,-98.74805694091948,-68.47588850120472,-59.18630538405121,-80.63125610725999,-49.76176714264129,-80.63125610725999,33,-32.734505913447364,57,2597,5112.0,5.111999999999999,-99.92969357966082,session,,0.0,50,1.0
calendar_session_lbexpanding_thr0p0_min20_lev2p0,False,-99.9843263857682,-90.06230394211524,-83.34242331796074,-96.24851760017447,-74.76119959369804,-96.24851760017447,33,-54.753533052919536,57,2597,10224.0,10.223999999999998,-99.9999505700726,session,,0.0,20,2.0
calendar_session_lbexpanding_thr0p0_min50_lev2p0,False,-99.9843263857682,-90.06230394211524,-83.34242331796074,-96.24851760017447,-74.76119959369804,-96.24851760017447,33,-54.753533052919536,57,2597,10224.0,10.223999999999998,-99.9999505700726,session,,0.0,50,2.0
calendar_session_lbexpanding_thr0p0_min20_lev4p0,False,-99.99999754337817,-99.01242197061102,-97.2252513908198,-99.85926379803799,-93.63002954050852,-99.85926379803799,33,-79.52757228806755,57,2597,20448.0,20.447999999999997,-99.99999999997556,session,,0.0,20,4.0
calendar_session_lbexpanding_thr0p0_min50_lev4p0,False,-99.99999754337817,-99.01242197061102,-97.2252513908198,-99.85926379803799,-93.63002954050852,-99.85926379803799,33,-79.52757228806755,57,2597,20448.0,20.447999999999997,-99.99999999997556,session,,0.0,50,4.0
