selector_id,month,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct
all_calendar,2025-08,-0.0710005786315819,0.036000000000000004,36.0,19,99.96639784946237,-25.71838053933537,-6.853864684552013
all_calendar,2025-09,0.08926462961363836,0.018000000000000002,18.0,10,99.96527777777777,-24.03679600571541,9.336995611504673
all_calendar,2025-10,-0.032394407995740095,0.022,22.0,12,99.96639784946237,-21.439946895051122,-3.187532934129167
all_calendar,2025-11,-0.043671586141761795,0.018000000000000002,18.0,10,99.96527777777777,-28.644189723837066,-4.273171397352193
all_calendar,2025-12,-0.1987048735736889,0.038,38.0,20,99.96639784946237,-40.299179401271054,-18.020820014112292
all_calendar,2026-01,-0.010787129922436453,0.02,20.0,11,99.96639784946237,-38.152628740558825,-1.0729157475807716
all_calendar,2026-02,0.22118429832499298,0.018000000000000002,18.0,10,99.96279761904762,-42.86008725383507,24.75533313675582
all_calendar,2026-03,0.12184376271633891,0.018000000000000002,18.0,10,99.96639784946237,-23.604555991959952,12.957760585623234
all_calendar,2026-04,0.07500798153754708,0.02,20.0,11,99.96527777777777,-12.014472185018244,7.789275409178664
all_calendar,2026-05,-0.04539247983529758,0.018000000000000002,18.0,10,99.96639784946237,-14.935978766219405,-4.437765427961948
session_only,2023-01,-0.39652279870400053,0.248,248.0,125,99.96639784946237,-33.393557746022736,-32.734505913447364
session_only,2023-02,-0.15749041041321357,0.224,224.0,113,99.96279761904762,-45.092311994550414,-14.571499419059696
session_only,2023-03,-0.31376628785784244,0.248,248.0,125,99.96639784946237,-60.810005443461556,-26.931022072108934
session_only,2023-04,-0.2006927370795556,0.12,120.0,61,99.96527777777777,-65.64670453427325,-18.183621567003705
session_only,2023-05,-0.06844574983595975,0.126,126.0,64,99.96639784946237,-68.75965549838267,-6.615588007394746
session_only,2023-06,-0.31954757036871484,0.12,120.0,61,99.96527777777777,-77.21871775769338,-27.352235725534168
session_only,2023-07,-0.04283075536453684,0.002,2.0,2,99.96639784946237,-77.7996229055899,-4.192647484909184
session_only,2023-08,-0.2054671508677176,0.126,126.0,64,99.96639784946237,-82.27451883918837,-18.57331579129562
session_only,2023-09,-0.134852067667431,0.24,240.0,121,99.96527777777777,-84.16303192508177,-12.615482791848686
session_only,2023-10,0.24879098307634417,0.002,2.0,2,99.96639784946237,-84.34952375507318,28.24739462945276
session_only,2023-11,0.08411899733178774,0.002,2.0,2,99.96527777777777,-79.8923736034122,8.775832644608105
session_only,2023-12,0.11561141688181276,0.002,2.0,2,99.96639784946237,-77.85825727083228,12.25595796689829
session_only,2024-01,-0.001341896489474025,0.002,2.0,2,99.96639784946237,-77.38452863808912,-0.13409965489671327
session_only,2024-02,0.08293551831578726,0.116,116.0,59,99.96408045977012,-75.34292529062708,8.647174876126606
session_only,2024-03,0.15018730436169458,0.002,2.0,2,99.96639784946237,-73.21665846045592,16.205187973105595
session_only,2024-04,-0.16277465714053752,0.002,2.0,2,99.96527777777777,-73.9204683240717,-15.02173407051507
session_only,2024-05,-0.07822901192274824,0.248,248.0,125,99.96639784946237,-76.57483794326444,-7.524737708455342
session_only,2024-06,-0.20634222870590768,0.12,120.0,61,99.96527777777777,-80.55962749326791,-18.64453931047735
session_only,2024-07,-0.32264632878512667,0.248,248.0,125,99.96639784946237,-85.47509510917396,-27.577005163560585
session_only,2024-08,-0.12125329808747833,0.248,248.0,125,99.96639784946237,-87.69091571968374,-11.419044269299539
session_only,2024-09,-0.15184779447386612,0.24,240.0,121,99.96527777777777,-89.04789214711361,-14.088096654527316
session_only,2024-10,-0.36299599898552226,0.248,248.0,125,99.96639784946237,-92.4632383543719,-30.441078344394647
session_only,2024-11,-0.14114026294047732,0.12,120.0,61,99.96527777777777,-93.55532249671124,-13.163249662416753
session_only,2024-12,-0.034429794476914966,0.002,2.0,2,99.96639784946237,-93.67310743585332,-3.384383319538309
session_only,2025-01,0.08732478949166089,0.002,2.0,2,99.96639784946237,-93.75647739972734,9.125104904093885
session_only,2025-02,-0.1972515047823944,0.002,2.0,2,99.96279761904762,-94.6157590810451,-17.901587408898955
session_only,2025-03,-0.171606851858917,0.126,126.0,64,99.96639784946237,-95.24838233120651,-15.768973920576057
session_only,2025-04,-0.18047448988754422,0.122,122.0,62,99.96527777777777,-96.03677520459414,-16.512602184563875
session_only,2025-05,-0.18728037410574438,0.124,124.0,63,99.96639784946237,-96.66080663881158,-17.078878556236067
session_only,2025-06,-0.12435677115682332,0.12,120.0,61,99.96527777777777,-97.03776304193013,-11.693526735088833
session_only,2025-07,-0.09821727899896915,0.124,124.0,63,99.96639784946237,-97.34984053132129,-9.354807061233172
session_only,2025-08,-0.06502993381556021,0.002,2.0,2,99.96639784946237,-97.48857078832614,-6.296058620739508
session_only,2025-09,0.0526423456439129,0.002,2.0,2,99.96527777777777,-97.4902051415608,5.40525911951002
session_only,2025-10,-0.042610904609245326,0.002,2.0,2,99.96639784946237,-97.57457978728739,-4.171581850533301
session_only,2025-11,-0.19391951256406625,0.002,2.0,2,99.96527777777777,-98.11389509747109,-17.627579895062883
session_only,2025-12,-0.01649917437486903,0.002,2.0,2,99.96639784946237,-98.01640021741161,-1.6363808494903376
session_only,2026-01,-0.1102493545389287,0.002,2.0,2,99.96639784946237,-98.17737399935412,-10.438921716310311
session_only,2026-02,-0.10550816563944489,0.114,114.0,58,99.96279761904762,-98.38856733085709,-10.013287517370683
session_only,2026-03,-0.03669237268455683,0.124,124.0,63,99.96639784946237,-98.45350592727776,-3.6027365945260237
session_only,2026-04,-0.236045690087196,0.12,120.0,61,99.96527777777777,-98.79914747026852,-21.025541039070074
session_only,2026-05,-0.11950043910874031,0.124,124.0,63,99.96639784946237,-98.87711453929043,-11.263638183015557
weekday_only,2023-01,0.03495703867515499,0.008,8.0,8,12.903225806451612,-4.851261589232303,3.5575218160592836
weekday_only,2023-02,0.10157353732578667,0.008,8.0,8,14.285714285714285,-3.561159043587281,10.691131469703151
weekday_only,2023-03,-0.015900495097456824,0.01,10.0,10,16.129032258064516,-9.976494424477567,-1.57747495794478
weekday_only,2023-04,-0.06929604065068327,0.008,8.0,8,13.333333333333334,-13.921520663737452,-6.6949581665097675
weekday_only,2023-05,-0.03269394851206563,0.01,10.0,10,16.09543010752688,-14.581973336235565,-3.216527847708339
weekday_only,2023-06,0.0,0.0,0.0,0,0.0,-13.682993795535436,0.0
weekday_only,2023-07,0.0,0.0,0.0,0,0.0,-13.682993795535436,0.0
weekday_only,2023-08,0.0,0.0,0.0,0,0.0,-13.682993795535436,0.0
weekday_only,2023-09,-0.050207498420497404,0.034,34.0,18,99.96527777777777,-18.45906874139662,-4.896793362594265
weekday_only,2023-10,-0.015086186033991672,0.038,38.0,20,99.96639784946237,-23.514468501909835,-1.4972959629432903
weekday_only,2023-11,-0.1033518130920694,0.034,34.0,18,99.96527777777777,-28.96907217644492,-9.81903507757762
weekday_only,2023-12,0.1366999476404327,0.018000000000000002,18.0,10,99.96639784946237,-27.15155841705438,14.648409164853593
weekday_only,2024-01,0.013044191898276446,0.018000000000000002,18.0,10,99.96639784946237,-23.19394488304698,1.31296384924664
weekday_only,2024-02,0.3091488854518285,0.018000000000000002,18.0,10,99.96408045977012,-18.368814892892527,36.22651768719572
weekday_only,2024-03,0.18720048718177543,0.018000000000000002,18.0,10,99.96639784946237,-17.599913620318898,20.58690220983561
weekday_only,2024-04,-0.27578632399705966,0.034,34.0,18,99.96527777777777,-28.910509745236013,-24.102491180077447
weekday_only,2024-05,-0.003398251987194202,0.038,38.0,20,99.96639784946237,-36.44229716632432,-0.33924844639254825
weekday_only,2024-06,-0.05947915294493565,0.018000000000000002,18.0,10,99.96527777777777,-34.5605298697824,-5.774482336796849
weekday_only,2024-07,0.12406349164738618,0.018000000000000002,18.0,10,99.96639784946237,-35.12480341976113,13.208774683342561
