month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,candidate,market_return_pct,market_max_drawdown_pct,market_max_runup_pct,market_regime,shock_month,complete_month,partial_month,data_end_utc,label_rule_version,is_posthoc_label,year
2025-05,0.1794011113139396,1.563570999634968,1.87100069528289,-0.1533409457698393,44.2,12,19.650057784700103,-15.334094576983937,4,10.953837467470985,-7.774639525703709,19.537457222434785,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-06,0.0898915923983253,2.108182005232313,2.3066991416061877,-0.1815275883768276,48.0,12,9.405567332454943,-18.15275883768276,2C,2.547125996504751,-10.957286748134676,10.46576372448409,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-06,0.0898915923983253,2.0965077913314496,2.293925624368484,-0.1815275883768277,48.0,12,9.405567332454943,-18.152758837682768,3,2.547125996504751,-10.957286748134676,10.46576372448409,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-06,0.06979363448513,1.8708136045680528,2.006249489391654,-0.1422435361035177,48.0,12,7.22868753869248,-14.22435361035177,4,2.547125996504751,-10.957286748134676,10.46576372448409,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-07,0.0542585747383501,2.306468483225138,2.435315055316244,-0.0752549312297028,32.4,14,5.575755909827906,-7.525493122970284,2C,7.848616904756356,-6.449473009919582,16.643231958043494,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-07,0.049866003124074,2.293696243275293,2.4112145892649206,-0.079153711801979,32.4,14,5.11302387708088,-7.915371180197905,3,7.848616904756356,-6.449473009919582,16.643231958043494,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-07,0.0445803272606705,2.006048874473628,2.097712322398787,-0.084658458880489,32.2,12,4.558896263438661,-8.465845888048907,4,7.848616904756356,-6.449473009919582,16.643231958043494,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-08,0.0910147413218122,2.4350715359868818,2.6673644183146523,-0.0972267410269693,32.2,12,9.528515109034808,-9.72267410269694,2C,-6.1084632050971805,-13.59219629927595,10.970352257215543,down,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-08,0.0910147413218122,2.4109734798616653,2.64096753571428,-0.1011835405936338,32.2,12,9.528515109034808,-10.118354059363387,3,-6.1084632050971805,-13.59219629927595,10.970352257215543,down,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-08,0.0817434084308052,2.0975025616547587,2.276389850310718,-0.1065565950788902,32.0,10,8.517732674974642,-10.655659507889029,4,-6.1084632050971805,-13.59219629927595,10.970352257215543,down,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-09,0.0597624212919325,2.6670976952091987,2.8316322068796227,-0.1019215197943592,32.2,12,6.158430675504079,-10.192151979435929,2C,5.616280588877887,-7.708805624188086,9.794398273523486,up,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-09,0.0597624212919325,2.640703452165106,2.803609690563812,-0.1019215197943591,32.2,12,6.158430675504079,-10.192151979435916,3,5.616280588877887,-7.708805624188086,9.794398273523486,up,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-09,0.0735452290726439,2.276162222707257,2.450117587128971,-0.1026595539717599,32.0,10,7.631721640058253,-10.265955397175995,4,5.616280588877887,-7.708805624188086,9.794398273523486,up,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-10,0.1128832552237507,2.831349057816624,3.170015736806747,-0.1646862195253897,51.9,16,11.95012293987192,-16.468621952538975,2C,-3.9797332295629873,-17.47384630038259,11.577606918825769,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-10,0.10982124175692,2.803329343612337,3.129048622471519,-0.1646862195253897,52.7,24,11.60785443862038,-16.468621952538975,3,-3.9797332295629873,-17.47384630038259,11.577606918825769,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-10,0.1019487594511379,2.449872587620437,2.7130806964707683,-0.1403638006113812,48.7,22,10.7326730244786,-14.036380061138122,4,-3.9797332295629873,-17.47384630038259,11.577606918825769,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-11,0.2000493099272441,3.169698751082617,3.8720568904831394,-0.108562166913942,36.2,14,22.146298692623635,-10.856216691394206,2C,-17.462670200127928,-27.19437781500628,14.824746879947014,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
2025-11,0.1985711704506961,3.1287357332539933,3.8163717756194746,-0.1112875867980547,36.2,14,21.965882799388005,-11.128758679805472,3,-17.462670200127928,-27.19437781500628,14.824746879947014,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True,2025
