event_index,event_timestamp,month,label,action,btc_target,hype_target,hold_bars,trade_log_return,trade_return_pct,trade_max_drawdown_pct,ret16_HYPEUSDT,ret96_HYPEUSDT,ret384_HYPEUSDT,ret16_BTCUSDT,ret96_BTCUSDT,ret384_BTCUSDT,rel_ret16,rel_ret96,resid_z16,shock_sign,trend_align,btc_align,month_num,day_num,hour_float,event_index_frac
24587,2026-02-12 02:45:00+00:00,2026-02,btc_reversal|-2.000|0.000|64,btc_reversal,0.0,-2.0,64,0.07882345447388586,8.201328060316616,-10.372046888885912,0.04256243640375189,0.06530470021421163,-0.012897579960778617,0.0002418392255722129,-0.018126238657215767,-0.028191769328937653,0.042320597178179674,0.0834309388714274,1.5995115330038001,1.0,-1.0,-1.0,2.0,12.0,2.75,0.6506390748630554
24653,2026-02-12 19:15:00+00:00,2026-02,btc_reversal|2.000|0.000|96,btc_reversal,0.0,2.0,96,0.10116604314822318,10.646034667087623,-7.177457729592951,-0.04422700224776993,0.01796818193119769,-0.08164468267417774,-0.0311321366270061,-0.024780683170651432,-0.07924838657085118,-0.01309486562076383,0.04274886510184912,-0.4933639793661889,-1.0,1.0,1.0,2.0,12.0,19.25,0.6523856148614676
25055,2026-02-16 23:45:00+00:00,2026-02,btc_reversal|-2.000|0.000|96,btc_reversal,0.0,-2.0,96,0.11086662066370662,11.724587940221664,-5.7039937265079494,0.04503673576169286,0.01766128721698319,0.005005143919048861,0.014317289071866614,0.0009530770142203073,0.03878045429998565,0.03071944668982625,0.016708210202762884,1.1480979415039658,1.0,1.0,1.0,2.0,16.0,23.75,0.6630236312154331
25419,2026-02-20 18:45:00+00:00,2026-02,btc_momentum|2.000|0.000|32,btc_momentum,0.0,2.0,32,0.026160113538869826,2.650529271130697,-1.721425515437558,0.04033447609015891,0.043941082857138325,0.007173990960843462,0.012715046996421892,0.013311855283511713,0.0010034325304258112,0.02761942909373702,0.030629227573626613,1.040179456195192,1.0,1.0,1.0,2.0,20.0,18.75,0.672656063933949
25639,2026-02-23 01:45:00+00:00,2026-02,btc_momentum|-2.000|0.000|96,btc_momentum,0.0,-2.0,96,0.11034667998561448,11.666512881309554,-8.356643252362039,-0.04815646973570134,-0.07961041513584312,-0.03213829870729661,-0.0483409944600632,-0.05653654761453008,-0.037241714923457875,0.00018452472436186057,-0.02307386752131304,0.007014555659284838,-1.0,1.0,1.0,2.0,23.0,1.75,0.6784778639286565
25881,2026-02-25 14:15:00+00:00,2026-02,hype_momentum|0.000|2.000|16,hype_momentum,2.0,0.0,16,0.07750705136894825,8.058985206942415,-0.3805929773865402,0.0416650933006321,0.056452377197577966,-0.07236055068791032,0.01831574419514567,0.05513869023363252,-0.02763098406782966,0.023349349105486434,0.0013136869639454457,0.8820930636641213,1.0,-1.0,1.0,2.0,25.0,14.25,0.6848818439228347
26032,2026-02-27 04:00:00+00:00,2026-02,btc_reversal|-2.000|0.000|96,btc_reversal,0.0,-2.0,96,0.16080661970481708,17.445782985066316,-4.9363473974588405,0.04177897947763594,0.0356266458412654,0.07146656681039698,0.008443961170675014,-0.008707668095850904,0.043831222432052334,0.03333501830696092,0.04433431393711631,1.3578446760709442,1.0,1.0,-1.0,2.0,27.0,4.0,0.6888777157373839
26139,2026-02-28 06:45:00+00:00,2026-02,btc_reversal|2.000|0.000|96,btc_reversal,0.0,2.0,96,0.32876364724887214,38.92494638482105,-6.145358337682028,-0.02780308124074581,-0.10328297374165041,-0.0011057519285771107,-0.04265689421525374,-0.0679712514018795,0.001955251676196506,0.01485381297450793,-0.03531172233977091,0.61773507556763,-1.0,1.0,1.0,2.0,28.0,6.75,0.6917092275529916
26236,2026-03-01 07:00:00+00:00,2026-03,btc_reversal|2.000|0.000|64,btc_reversal,0.0,2.0,64,0.06085545582542277,6.274528944403346,-3.97078766402833,-0.002640988362306699,0.15288299382871465,0.14338368906753415,-0.010525709550969639,0.04986267791194981,0.03015632853280566,0.00788472118866294,0.10302031591676483,0.33501272870047455,1.0,1.0,1.0,3.0,1.0,7.0,0.6942761120961126
26324,2026-03-02 05:00:00+00:00,2026-03,btc_reversal|2.000|0.000|96,btc_reversal,0.0,2.0,96,0.1550698684980904,16.773954646324075,-8.352310407516095,-0.052891718607585646,-0.0016484852217985141,0.09605126697099592,-0.0032880089273452976,-0.009190017236506769,-0.023532241287797507,-0.049603709680240346,0.007541532014708255,-2.180074237221696,-1.0,-1.0,1.0,3.0,2.0,5.0,0.6966048320939956
