month,event_index,event_timestamp,action,btc_target,hype_target,hold_bars,leverage,trained_rows,trained_actions
2026-03,26973,2026-03-08 23:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,192,4
2026-03,27038,2026-03-09 15:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,192,4
2026-03,27103,2026-03-10 07:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,192,4
2026-03,27217,2026-03-11 12:15:00+00:00,btc_reversal,2.0,0.0,64,2.0,192,4
2026-03,27288,2026-03-12 06:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,192,4
2026-03,27395,2026-03-13 08:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,192,4
2026-03,27519,2026-03-14 15:45:00+00:00,btc_reversal,2.0,0.0,64,2.0,192,4
2026-03,27677,2026-03-16 07:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,192,4
2026-03,27750,2026-03-17 01:30:00+00:00,btc_reversal,-2.0,0.0,64,2.0,192,4
2026-03,27827,2026-03-17 20:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,192,4
2026-03,27894,2026-03-18 13:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,192,4
2026-03,27970,2026-03-19 08:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,192,4
2026-03,28374,2026-03-23 13:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,192,4
2026-03,28478,2026-03-24 15:30:00+00:00,btc_reversal,2.0,0.0,64,2.0,192,4
2026-03,29069,2026-03-30 19:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,192,4
2026-04,29211,2026-04-01 06:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,211,4
2026-04,29850,2026-04-07 22:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,211,4
2026-04,29943,2026-04-08 21:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,211,4
2026-04,30257,2026-04-12 04:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,211,4
2026-04,30342,2026-04-13 01:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,211,4
2026-04,30411,2026-04-13 18:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,211,4
2026-04,30488,2026-04-14 14:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,211,4
2026-04,30695,2026-04-16 17:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,211,4
2026-04,30983,2026-04-19 17:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,211,4
2026-04,31287,2026-04-22 21:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,211,4
2026-04,31814,2026-04-28 09:30:00+00:00,btc_momentum,-2.0,0.0,64,2.0,211,4
2026-04,32011,2026-04-30 10:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,211,4
2026-05,32066,2026-05-01 00:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,32196,2026-05-02 09:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,32416,2026-05-04 16:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,32484,2026-05-05 09:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,32612,2026-05-06 17:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,32896,2026-05-09 16:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,33015,2026-05-10 21:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,33360,2026-05-14 12:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,33425,2026-05-15 04:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,33517,2026-05-16 03:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,222,4
2026-05,33585,2026-05-16 20:15:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,33664,2026-05-17 16:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,33775,2026-05-18 19:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,33932,2026-05-20 11:00:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,33997,2026-05-21 03:15:00+00:00,btc_reversal,-2.0,0.0,64,2.0,222,4
2026-05,34062,2026-05-21 19:30:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,34127,2026-05-22 11:45:00+00:00,btc_reversal,-2.0,0.0,64,2.0,222,4
2026-05,34223,2026-05-23 11:45:00+00:00,btc_momentum,2.0,0.0,64,2.0,222,4
2026-05,34295,2026-05-24 05:45:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
2026-05,34476,2026-05-26 03:00:00+00:00,btc_momentum,-2.0,0.0,64,2.0,222,4
