month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-05,0.1656347200716312,1.6269156452674967,1.9201833958909258,-0.09734292375749565,48.0,12,18.014194081725087,-9.734292375749565,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-06,0.12724465699395754,1.9199913871519336,2.180742373568641,-0.15037697184766596,48.0,12,13.569483948007012,-15.037697184766596,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-07,0.07519746976212317,2.1805243102346323,2.3510518574473984,-0.13598517225485007,48.2,14,7.809702142855923,-13.598517225485008,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-08,0.09627341977250614,2.350816764016521,2.58864933316409,-0.09124752489812216,32.2,12,10.106007443606835,-9.124752489812217,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-09,0.08558419728724785,2.5883904811735885,2.8199536368656766,-0.09447690116240282,32.2,12,8.935327807372984,-9.447690116240281,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-10,0.09610520490972485,2.8196716556012884,3.1044161084597697,-0.13994776381862684,51.9,16,10.087487534378958,-13.994776381862684,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-11,0.2299065351584055,3.1041056823704865,3.906852974473266,-0.10792131646568215,36.2,14,25.848238057610896,-10.792131646568215,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-12,0.1780924087193412,3.9064623087094326,4.668438244709524,-0.15796637895686827,63.800000000000004,12,19.49357386142583,-15.796637895686827,1F_cost0.0010_delay2,1F,0.001,0.002,2
2026-01,0.08488160096869314,4.667971424226466,5.082006651556102,-0.18244084031906538,68.3,13,8.85881712830312,-18.24408403190654,1F_cost0.0010_delay2,1F,0.001,0.002,2
2026-02,0.29506385811488867,5.0381957038753225,6.826212983899103,-0.22916969494324302,60.1,11,34.321213094219786,-22.916969494324302,1F_cost0.0010_delay2,1F,0.001,0.002,2
2026-03,0.18026776144044904,6.82553039673064,8.174649271536216,-0.2783877565253561,36.0,12,19.753797468928227,-27.83877565253561,1F_cost0.0010_delay2,1F,0.001,0.002,2
2026-04,0.19829694009932813,8.173831847480944,9.967549370391263,-0.12247456709108595,36.0,12,21.9324406381304,-12.247456709108596,1F_cost0.0010_delay2,1F,0.001,0.002,2
2026-05,0.1603613685299851,9.966552665290306,11.701255244783367,-0.08267378187868968,32.2,12,17.393501752217055,-8.267378187868967,1F_cost0.0010_delay2,1F,0.001,0.002,2
2026-06,0.39325507223711714,11.700085177763212,17.338876799950338,-0.2250983492561479,54.7,12,48.17963062279424,-22.50983492561479,1F_cost0.0010_delay2,1F,0.001,0.002,2
2025-01,0.11674839805617503,0.9998500112494375,1.12383663463432,-0.18859451488106949,82.0,14,12.383663463432004,-18.85945148810695,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-02,0.09236469925098971,1.123668071781655,1.232584392623217,-0.04980795525636694,20.3,13,9.676473843040533,-4.980795525636694,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-03,0.3155951467169295,1.2320330445048895,1.689965718848296,-0.30959999659130844,65.9,11,37.10750590080638,-30.959999659130844,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-04,0.13768113995832298,1.6897122430016325,1.9394208236321069,-0.31421025582351103,80.0,16,14.760956509449974,-31.421025582351103,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-05,0.16537427221475434,1.9391299323259554,2.2881958215503184,-0.12143090230964593,48.0,12,17.98346154008148,-12.143090230964592,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-06,0.0959289756061376,2.2878526179180017,2.518573404262649,-0.1945189390101013,48.0,12,10.068088602497438,-19.45189390101013,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-07,0.06986702124890812,2.5181956465845436,2.7008314040930195,-0.13500618663065178,48.2,14,7.236556993808496,-13.500618663065179,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-08,0.11020502342586044,2.7004263097652395,3.0154970525587848,-0.14087021312023806,48.0,12,11.650695707584703,-14.087021312023806,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-09,0.07920863732721423,3.015044761923546,3.2640648782047825,-0.23891224623353724,64.0,14,8.243013384313436,-23.891224623353725,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-10,0.08068004062913926,3.2635753051919454,3.5383246571642455,-0.15253151281888366,51.9,16,8.40239974366883,-15.253151281888366,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-11,0.18194930992724415,3.5377939482698326,4.244409326418719,-0.12025182483505881,36.2,14,19.95533868902699,-12.02518248350588,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-12,0.15420175358101537,4.243772712766973,4.952063794849998,-0.11698170594311696,32.2,12,16.67262542343839,-11.698170594311696,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2026-01,0.034914282500496774,4.951321040988702,5.128015285692445,-0.23269474858248318,84.1,13,3.5530941872242483,-23.26947485824832,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2026-02,0.22932535640527132,5.0637662743616705,6.449767327159738,-0.25764122342119145,60.1,11,25.775118985216228,-25.764122342119144,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2026-03,0.1935869271439034,6.448799934616918,7.8274045815870705,-0.3078156400259787,36.0,12,21.359487630292474,-30.78156400259787,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2026-04,0.17175958475467903,7.826230558953731,9.29420017711074,-0.14697444624443912,36.0,12,18.739233167710758,-14.69744462444391,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2026-05,0.11720054833545786,9.292806151638697,10.44988649973539,-0.09963051915364851,32.2,12,12.434489257836479,-9.96305191536485,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2026-06,0.3517588771966997,10.448319134315774,14.855200326442215,-0.22467782849948492,54.7,12,42.15657104810071,-22.46778284994849,1F_cost0.0015_delay0,1F,0.0015,0.003,0
2025-01,0.12105384743074059,0.9998500112494375,1.1286856875554239,-0.20142480783091565,82.0,14,12.868568755542388,-20.142480783091564,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-02,0.09331602861442763,1.1285163973993697,1.239080876379833,-0.04980795525636683,20.3,13,9.78086193894332,-4.980795525636683,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-03,0.32502157993202285,1.2385266223151734,1.7149629141421645,-0.30194587312197596,65.9,11,38.406051359027856,-30.194587312197598,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-04,0.13131949848505498,1.7147056889974113,1.9556271883871306,-0.35412486321084136,80.0,16,14.033205748087418,-35.41248632108414,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-05,0.12635680882049172,1.9553338663085784,2.21902467393551,-0.12441785163815922,48.0,12,13.468696237835198,-12.441785163815922,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-06,0.10409838165353685,2.2186918451971995,2.4624730379203195,-0.18815099736037333,48.0,12,10.97096246131619,-18.815099736037332,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-07,0.0649452602960557,2.4621036946660677,2.6277064809076616,-0.14179613654910062,48.2,14,6.710061001394352,-14.179613654910062,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-08,0.08438984114791866,2.6273123544957455,2.8590838643915655,-0.09124752489812205,32.2,12,8.80529789628488,-9.124752489812204,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-09,0.0788731751705252,2.858655033974992,3.0937205297458394,-0.24934967073320458,64.0,14,8.206708039472122,-24.934967073320458,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-10,0.06728680528646683,3.0932565064689928,3.30905029022586,-0.1572801588756919,63.9,16,6.960220175340526,-15.72801588756919,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-11,0.18347316758411011,3.30855396990728,3.975435867997566,-0.1251246528107468,36.2,14,20.138272897817664,-12.51246528107468,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2025-12,0.24106199573500542,3.9748395973387836,5.059139401889318,-0.08642706154150814,28.4,12,27.259992863062244,-8.642706154150815,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2026-01,0.0900326271941793,5.058380587891507,5.535760844624584,-0.16910411336212294,68.3,13,9.420998412442994,-16.910411336212295,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2026-02,0.23942188048312868,5.466403180613113,7.033264027347045,-0.2476198885608073,60.1,11,27.051442877569375,-24.76198885608073,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2026-03,0.1951902077994121,7.032209116863206,8.54922901871468,-0.2982401298907229,36.0,12,21.554217010383848,-29.82401298907229,1F_cost0.0015_delay1,1F,0.0015,0.003,1
2026-04,0.17899978126387336,8.547946730535891,10.225053016436055,-0.13378622706668497,36.0,12,19.60204825549672,-13.378622706668498,1F_cost0.0015_delay1,1F,0.0015,0.003,1
