candidate_id,family,rule,leverage,lookback,threshold_bps,hard_pass_target_years_relaxed,hard_pass_complete_years_relaxed,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,max_drawdown_pct,orders,turnover,selected_month_count,selected_candidate_count,symbol
single_symbol_symbol_reversal_lev1p0_symbolHYPEUSDT_lookback192_threshold_bps100,single_symbol,symbol_reversal,1.0,192,100,False,False,0.0,0.0,-42.48349763266172,-69.18555768544064,-69.18555768544064,-85.8665858006004,2252,2275.0,41,1,HYPEUSDT
pair_long_strong_short_weak_lev1p0_lookback384_threshold_bps50,pair,long_strong_short_weak,1.0,384,50,False,False,0.0,0.0,-75.74974374384482,-27.800344095511687,-75.74974374384482,-85.88231993229378,3102,1623.0,41,1,
single_symbol_symbol_reversal_lev1p0_symbolHYPEUSDT_lookback192_threshold_bps0,single_symbol,symbol_reversal,1.0,192,0,False,False,0.0,0.0,-38.09218107130923,-71.27743575719269,-71.27743575719269,-85.8888455452897,1227,2421.0,41,1,HYPEUSDT
single_symbol_symbol_reversal_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps100,single_symbol,symbol_reversal,2.0,1536,100,False,False,0.0,0.0,118.99107690173665,-75.31019146728303,-75.31019146728303,-85.89100525446973,271,550.0,41,1,HYPEUSDT
pair_long_strong_short_weak_lev1p0_lookback192_threshold_bps400,pair,long_strong_short_weak,1.0,192,400,False,False,0.0,0.0,-76.25056694915386,-34.419900603324564,-76.25056694915386,-85.99980941288138,3342,1671.0,41,1,
pair_long_weak_short_strong_lev1p0_lookback192_threshold_bps100,pair,long_weak_short_strong,1.0,192,100,False,False,0.0,0.0,-60.7793252627569,-63.97284061093727,-63.97284061093727,-86.10026797229939,4358,2197.0,41,1,
single_symbol_symbol_momentum_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,2.0,1536,100,False,False,0.0,0.0,-76.39852080714617,160.85112010071504,-76.39852080714617,-86.15187237917662,271,550.0,41,1,HYPEUSDT
single_symbol_symbol_momentum_lev2p0_symbolHYPEUSDT_lookback768_threshold_bps400,single_symbol,symbol_momentum,2.0,768,400,False,False,0.0,0.0,-13.146891376311176,-25.131549421722255,-25.131549421722255,-86.30288570355266,789,1578.0,41,1,HYPEUSDT
single_symbol_symbol_reversal_lev1p0_symbolHYPEUSDT_lookback192_threshold_bps20,single_symbol,symbol_reversal,1.0,192,20,False,False,0.0,0.0,-40.37551072233067,-69.85527372573992,-69.85527372573992,-86.40352283933692,1874,2371.0,41,1,HYPEUSDT
single_symbol_symbol_momentum_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,2.0,1536,50,False,False,0.0,0.0,-76.53219561313453,191.6478980030126,-76.53219561313453,-86.46267354866987,255,550.0,41,1,HYPEUSDT
single_symbol_symbol_reversal_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps0,single_symbol,symbol_reversal,2.0,1536,0,False,False,0.0,0.0,137.11819417882717,-76.82948380880902,-76.82948380880902,-86.62399427002228,164,610.0,41,1,HYPEUSDT
single_symbol_symbol_reversal_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps20,single_symbol,symbol_reversal,2.0,1536,20,False,False,0.0,0.0,122.15382516354758,-77.07136140560694,-77.07136140560694,-86.76362672766912,220,566.0,41,1,HYPEUSDT
pair_long_strong_short_weak_lev3p0_lookback1536_threshold_bps50,pair,long_strong_short_weak,3.0,1536,50,False,False,0.0,0.0,-81.78752159829588,100.44996592513212,-81.78752159829588,-86.84917670266489,728,1125.0,41,1,
single_symbol_symbol_reversal_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps50,single_symbol,symbol_reversal,2.0,1536,50,False,False,0.0,0.0,111.60279658259805,-77.01611941572385,-77.01611941572385,-87.0113691945517,255,550.0,41,1,HYPEUSDT
single_symbol_symbol_momentum_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps200,single_symbol,symbol_momentum,2.0,1536,200,False,False,0.0,0.0,-77.59458837526473,115.2683133956439,-77.59458837526473,-87.03379279256674,325,650.0,41,1,HYPEUSDT
pair_long_weak_short_strong_lev4p0_lookback1536_threshold_bps200,pair,long_weak_short_strong,4.0,1536,200,False,False,0.0,0.0,51.1101961776381,-84.05030549637158,-84.05030549637158,-87.0740466846734,794,1588.0,41,1,
single_symbol_symbol_momentum_lev1p0_symbolHYPEUSDT_lookback384_threshold_bps200,single_symbol,symbol_momentum,1.0,384,200,False,False,0.0,0.0,-74.87712339800689,-30.243087988231565,-74.87712339800689,-87.08575819780123,1542,1545.0,41,1,HYPEUSDT
single_symbol_symbol_reversal_lev1p0_symbolHYPEUSDT_lookback192_threshold_bps50,single_symbol,symbol_reversal,1.0,192,50,False,False,0.0,0.0,-39.870867367685406,-70.34499557280547,-70.34499557280547,-87.09194170028384,2210,2333.0,41,1,HYPEUSDT
single_symbol_symbol_momentum_lev2p0_symbolHYPEUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,2.0,1536,20,False,False,0.0,0.0,-78.0015867906258,187.7101785911119,-78.0015867906258,-87.09246860801588,220,566.0,41,1,HYPEUSDT
pair_long_weak_short_strong_lev4p0_lookback1536_threshold_bps100,pair,long_weak_short_strong,4.0,1536,100,False,False,0.0,0.0,32.53264388191721,-83.6792243147381,-83.6792243147381,-87.55272889821867,842,1684.0,41,1,
pair_long_weak_short_strong_lev4p0_lookback1536_threshold_bps20,pair,long_weak_short_strong,4.0,1536,20,False,False,0.0,0.0,41.93784765132192,-83.89132830646678,-83.89132830646678,-87.75943847651224,626,1540.0,41,1,
pair_long_strong_short_weak_lev1p0_lookback64_threshold_bps400,pair,long_strong_short_weak,1.0,64,400,False,False,0.0,0.0,-78.530128216872,-43.24128050080495,-78.530128216872,-87.8811347630207,3214,1607.0,41,1,
pair_long_strong_short_weak_lev3p0_lookback768_threshold_bps50,pair,long_strong_short_weak,3.0,768,50,False,False,0.0,0.0,-57.40672033252026,1.5307424664316782,-57.40672033252026,-87.9832559222623,1450,2277.0,41,1,
pair_long_weak_short_strong_lev1p0_lookback192_threshold_bps20,pair,long_weak_short_strong,1.0,192,20,False,False,0.0,0.0,-64.5356758339949,-65.27297349335244,-65.27297349335244,-88.0196680917103,3844,2365.0,41,1,
