symbol,month,url,ok,rows,http_status,error
HYPEUSDT,2020-09,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-09.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-10,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-10.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-11,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-11.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2020-12,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2020-12.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-01,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-01.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-02,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-02.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-03,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-03.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-04,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-04.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-05,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-05.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-06,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-06.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-07,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-07.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-08,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-08.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-09,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-09.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-10,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-10.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-11,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-11.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2021-12,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2021-12.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-01,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-01.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-02,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-02.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-03,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-03.zip,False,0,,"URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))"
HYPEUSDT,2022-04,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-04.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-05,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-05.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-06,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-06.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-07,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-07.zip,False,0,,"URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)'))"
HYPEUSDT,2022-08,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-08.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-09,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-09.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-10,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-10.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-11,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-11.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2022-12,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2022-12.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-01,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-01.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-02,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-02.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-03,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-03.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-04,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-04.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-05,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-05.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-06,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-06.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-07,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-07.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-08,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-08.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-09,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-09.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-10,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-10.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-11,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-11.zip,False,0,404.0,HTTP Error 404: Not Found
HYPEUSDT,2023-12,https://data.binance.vision/data/futures/um/monthly/klines/HYPEUSDT/15m/HYPEUSDT-15m-2023-12.zip,False,0,404.0,HTTP Error 404: Not Found
