candidate_id,family,rule,leverage,move_bps,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,buy_ratio,first10_bps,last5_bps,min_range_bps,close_pos,efficiency,sum_abs_bps,max_efficiency,last5_volume_share
efficiency_path_efficient_path_reversal_lev4p0_move_bps20_efficiency0p4,efficiency_path,efficient_path_reversal,4.0,20.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999991601,-100.0,-99.99999999999997,-99.99996634473088,-100.0,41,-97.88074560001914,290,27995,117712.0,117.712,-100.0,1,,,,,,0.4,,,
late_momentum_late_taker_momentum_lev2p0_move_bps10_buy_ratio0p55,late_momentum,late_taker_momentum,2.0,10.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999545196,-99.99999999999977,-99.99999999952628,-99.99471035734354,-99.99999999999977,41,-98.34119014097591,528,40216,88488.0,88.488,-100.0,1,0.55,,,,,,,,
efficiency_path_efficient_path_momentum_lev4p0_move_bps20_efficiency0p4,efficiency_path,efficient_path_momentum,4.0,20.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999993103,-100.0,-99.99999999999993,-99.9999668450556,-100.0,41,-98.6858369880783,290,27995,117712.0,117.712,-100.0,1,,,,,,0.4,,,
late_momentum_late_taker_momentum_lev4p0_move_bps20_buy_ratio0p55,late_momentum,late_taker_momentum,4.0,20.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999696496073,-99.99999999996471,-99.99999851939081,-99.94073701774553,-99.99999999996471,41,-98.76486803549496,130,15797,66632.0,66.632,-100.0,1,0.55,,,,,,,,
path_extreme_early_extreme_reversal_lev4p0_min_range_bps50_close_pos0p7,path_extreme,early_extreme_reversal,4.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99997266926293,-99.99999999998533,-99.99999962975349,-99.99356234898092,-99.99999999998533,41,-98.79761833588506,89,16303,71808.0,71.80799999999999,-100.0,1,,,,50.0,0.7,,,,
chop_path_chop_reversal_lev2p0_sum_abs_bps50_max_efficiency0p35,chop_path,chop_reversal,2.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999961659,-100.0,-99.99999999997712,-99.99927897515173,-100.0,41,-98.88398254967186,456,45826,109180.0,109.17999999999999,-100.0,1,,,,,,,50.0,0.35,
path_extreme_early_extreme_reversal_lev2p0_min_range_bps20_close_pos0p7,path_extreme,early_extreme_reversal,2.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999999719,-100.0,-100.0,-99.99998070335948,-100.0,41,-99.08409112836375,696,53836,124494.0,124.49400000000001,-100.0,1,,,,20.0,0.7,,,,
early_late_reversal_early_late_reversal_lev4p0_first10_bps10_last5_bps10,early_late_reversal,early_late_reversal,4.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999937919112,-99.99999999999493,-99.99999998972574,-99.98611700989116,-99.99999999999493,41,-99.10967024855915,167,18444,77280.0,77.28,-100.0,1,,10.0,10.0,,,,,,
chop_path_chop_reversal_lev4p0_sum_abs_bps100_max_efficiency0p35,chop_path,chop_reversal,4.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99991839811594,-99.99999999994328,-99.99999702734873,-99.92047890826801,-99.99999999994328,41,-99.12375943561933,44,14815,67656.0,67.65599999999999,-100.0,1,,,,,,,100.0,0.35,
late_momentum_late_volume_momentum_lev4p0_last5_volume_share0p35_move_bps10,late_momentum,late_volume_momentum,4.0,10.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999999743,-100.0,-99.99999999999993,-99.99987412434376,-100.0,41,-99.14840255875494,375,27638,113944.0,113.944,-100.0,1,,,,,,,,,0.35
