event_index,event_timestamp,month,action,hype_target,btc_target,hold_bars,trained_rows,trained_labels
29509,2026-03-04 09:15:00+00:00,2026-03,hype_reversal,-4.0,0.0,192,128,33
29744,2026-03-06 20:00:00+00:00,2026-03,hype_reversal,-4.0,0.0,96,128,33
29949,2026-03-08 23:15:00+00:00,2026-03,btc_momentum,0.0,4.0,16,128,33
30007,2026-03-09 13:45:00+00:00,2026-03,hype_momentum,4.0,0.0,64,128,33
30075,2026-03-10 06:45:00+00:00,2026-03,btc_momentum,0.0,4.0,16,128,33
30092,2026-03-10 11:00:00+00:00,2026-03,btc_momentum,0.0,4.0,16,128,33
30116,2026-03-10 17:00:00+00:00,2026-03,btc_momentum,0.0,4.0,96,128,33
30264,2026-03-12 06:00:00+00:00,2026-03,hype_reversal,-4.0,0.0,192,128,33
30495,2026-03-14 15:45:00+00:00,2026-03,btc_momentum,0.0,4.0,16,128,33
30653,2026-03-16 07:15:00+00:00,2026-03,hype_reversal,-4.0,0.0,192,128,33
30870,2026-03-18 13:30:00+00:00,2026-03,hype_reversal,-4.0,0.0,192,128,33
31350,2026-03-23 13:30:00+00:00,2026-03,hype_reversal,-4.0,0.0,192,128,33
32045,2026-03-30 19:15:00+00:00,2026-03,hype_momentum,-4.0,0.0,64,128,33
32187,2026-04-01 06:45:00+00:00,2026-04,hype_reversal,-4.0,0.0,192,140,35
32826,2026-04-07 22:30:00+00:00,2026-04,hype_reversal,-4.0,0.0,192,140,35
33233,2026-04-12 04:15:00+00:00,2026-04,btc_reversal,0.0,4.0,96,140,35
33387,2026-04-13 18:45:00+00:00,2026-04,hype_reversal,-4.0,0.0,192,140,35
33671,2026-04-16 17:45:00+00:00,2026-04,btc_reversal,0.0,4.0,192,140,35
33959,2026-04-19 17:45:00+00:00,2026-04,btc_reversal,0.0,4.0,192,140,35
34263,2026-04-22 21:45:00+00:00,2026-04,hype_momentum,4.0,0.0,192,140,35
34790,2026-04-28 09:30:00+00:00,2026-04,hype_momentum,-4.0,0.0,192,140,35
34987,2026-04-30 10:45:00+00:00,2026-04,btc_reversal,0.0,4.0,192,140,35
35042,2026-05-01 00:30:00+00:00,2026-05,btc_reversal,0.0,4.0,192,148,35
35392,2026-05-04 16:00:00+00:00,2026-05,hype_momentum,4.0,0.0,192,148,35
35588,2026-05-06 17:00:00+00:00,2026-05,hype_reversal,4.0,0.0,192,148,35
35872,2026-05-09 16:00:00+00:00,2026-05,hype_reversal,4.0,0.0,192,148,35
36336,2026-05-14 12:00:00+00:00,2026-05,btc_reversal,0.0,4.0,192,148,35
36529,2026-05-16 12:15:00+00:00,2026-05,hype_momentum,-4.0,0.0,64,148,35
36597,2026-05-17 05:15:00+00:00,2026-05,btc_reversal,0.0,4.0,192,148,35
36908,2026-05-20 11:00:00+00:00,2026-05,btc_reversal,0.0,4.0,192,148,35
37101,2026-05-22 11:15:00+00:00,2026-05,btc_reversal,0.0,4.0,192,148,35
37294,2026-05-24 11:30:00+00:00,2026-05,hype_momentum,4.0,0.0,192,148,35
37491,2026-05-26 12:45:00+00:00,2026-05,btc_reversal,0.0,4.0,192,148,35
37697,2026-05-28 16:15:00+00:00,2026-05,btc_reversal,0.0,4.0,192,148,35
38004,2026-05-31 21:00:00+00:00,2026-05,btc_reversal,0.0,4.0,192,148,35
