feature_set,max_depth,min_samples_leaf,trained_months,return_2025_pct,return_2026_ytd_pct,min_target_year_return_pct,max_drawdown_pct,trade_count,turnover,hard_pass_relaxed
market_plus_time,4,5,10,-50.176224043636665,-59.36001584907933,-59.36001584907933,-98.15436466183715,138,1108.0,False
market_only,12,2,10,-63.52079335255172,-56.984252783738874,-63.52079335255172,-97.18134547752723,133,1068.0,False
market_only,-1,2,10,-63.52079335255172,-56.984252783738874,-63.52079335255172,-97.18134547752723,133,1068.0,False
market_plus_time,-1,1,10,-64.06212603937941,-34.33853321510573,-64.06212603937941,-97.59341470464466,134,1098.0,False
market_only,12,3,10,-64.83103015649871,5100.118712475337,-64.83103015649871,-94.61580379534084,139,1114.0,False
market_only,-1,3,10,-64.83103015649871,5100.118712475337,-64.83103015649871,-94.61580379534084,139,1114.0,False
market_only,8,3,10,-64.83103015649871,1576.9145201655838,-64.83103015649871,-95.12244192814026,137,1102.0,False
market_only,8,2,10,-66.94428805014961,76.37045075125688,-66.94428805014961,-97.91886319047286,135,1080.0,False
market_plus_time,5,5,10,-50.176224043636665,-67.20311994003343,-67.20311994003343,-98.15436466183715,140,1120.0,False
market_plus_time,6,5,10,-50.176224043636665,-67.20311994003343,-67.20311994003343,-98.15436466183715,140,1120.0,False
market_plus_time,8,5,10,-50.176224043636665,-77.09553462928689,-77.09553462928689,-98.15436466183715,140,1120.0,False
market_plus_time,12,5,10,-50.176224043636665,-77.09553462928689,-77.09553462928689,-98.15436466183715,140,1120.0,False
market_plus_time,-1,5,10,-50.176224043636665,-77.09553462928689,-77.09553462928689,-98.15436466183715,140,1120.0,False
market_only,6,2,10,-77.97226625951201,1084.8201449990295,-77.97226625951201,-96.0983291382593,132,1064.0,False
market_only,5,3,10,-81.1782211117418,-72.05768489513362,-81.1782211117418,-97.39241988443939,130,1040.0,False
market_plus_time,6,2,10,2073.469728730804,-82.92604900830626,-82.92604900830626,-92.80104352744262,128,1024.0,False
market_plus_time,3,3,10,547.5884488547525,-83.63665615091381,-83.63665615091381,-95.92661523280252,131,1044.0,False
market_plus_time,3,1,10,332.9272210697801,-88.03191183644171,-88.03191183644171,-95.64846744111303,124,996.0,False
market_plus_time,3,2,10,229.12478707349342,-88.03191183644171,-88.03191183644171,-95.64846744111303,124,988.0,False
market_only,12,1,10,-88.5091317075615,38.514437446183166,-88.5091317075615,-98.61805360145163,136,1120.0,False
market_only,-1,1,10,-88.5091317075615,-17.745392616524967,-88.5091317075615,-98.61805360145163,136,1120.0,False
market_only,4,5,10,-86.98691304809525,-88.5836201360551,-88.5836201360551,-99.84634581685027,132,1068.0,False
market_plus_time,4,3,10,469.23731669898723,-89.90359457780947,-89.90359457780947,-96.70327659491262,129,1028.0,False
market_plus_time,6,1,10,-22.075656972610524,-90.58057993879729,-90.58057993879729,-98.68605450032756,131,1076.0,False
market_only,4,1,10,-94.08968273691242,-91.15243996900155,-94.08968273691242,-99.65341138155036,127,1028.0,False
market_only,5,2,10,-94.71742081421223,-95.6281061954283,-95.6281061954283,-99.78234409624362,131,1056.0,False
market_only,6,1,10,-96.04304956004779,20.916425056265986,-96.04304956004779,-99.54874576999289,134,1108.0,False
market_only,8,1,10,-96.26753941035841,218.84740123971466,-96.26753941035841,-99.09660837914494,137,1152.0,False
market_only,6,5,10,-96.67022921299858,-88.62803496466027,-96.67022921299858,-99.84195238394527,134,1080.0,False
market_only,5,5,10,-96.67022921299858,-94.29085619368506,-96.67022921299858,-99.92065429628936,133,1072.0,False
market_only,4,3,10,-88.51057454531335,-96.79428495290693,-96.79428495290693,-99.77035661389287,124,988.0,False
market_only,2,1,10,-6.414281568796721,-96.8307852840352,-96.8307852840352,-99.11023050570155,127,1012.0,False
market_only,2,2,10,-6.414281568796721,-96.8307852840352,-96.8307852840352,-99.11023050570155,127,1012.0,False
market_only,2,5,10,-61.08908689447723,-96.8307852840352,-96.8307852840352,-99.67361659421739,127,1012.0,False
market_only,2,3,10,-68.35375297156384,-96.8307852840352,-96.8307852840352,-99.69912219848335,127,1012.0,False
market_only,8,5,10,-96.67022921299858,-96.84721647076142,-96.84721647076142,-99.96581525571949,134,1088.0,False
market_only,12,5,10,-96.67022921299858,-96.84721647076142,-96.84721647076142,-99.96581525571949,134,1088.0,False
market_only,-1,5,10,-96.67022921299858,-96.84721647076142,-96.84721647076142,-99.96581525571949,134,1088.0,False
market_only,4,2,10,-96.88420958216514,-95.27333387161674,-96.88420958216514,-99.90238801406001,128,1028.0,False
market_only,5,1,10,-94.02704680660707,-97.1628409442281,-97.1628409442281,-99.88256519608493,130,1080.0,False
market_only,3,1,10,371.3426616243876,-98.38227860238948,-98.38227860238948,-99.30593611424825,124,992.0,False
market_only,3,2,10,125.81028948986072,-98.38227860238948,-98.38227860238948,-99.30593611424825,124,988.0,False
market_plus_time,2,3,10,-16.31055359875283,-98.80955500250505,-98.80955500250505,-99.69380893484725,125,996.0,False
market_plus_time,2,5,10,-16.31055359875283,-98.80955500250505,-98.80955500250505,-99.69380893484725,125,996.0,False
market_plus_time,2,1,10,-42.2279799447474,-98.80955500250505,-98.80955500250505,-99.78863193488063,125,996.0,False
market_plus_time,2,2,10,-42.2279799447474,-98.80955500250505,-98.80955500250505,-99.78863193488063,125,996.0,False
market_only,3,3,10,80.67035889552268,-98.85980309102133,-98.85980309102133,-99.3576793187477,129,1028.0,False
market_only,3,5,10,-78.04885209611254,-99.06122922684752,-99.06122922684752,-99.91398882292073,137,1092.0,False
