candidate_id,family,rule,leverage,lookback,threshold_bps,sample_month_count,non_positive_months,total_sample_return_pct,losing_sample_months,min_monthly_return_pct,max_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_month_drawdown_pct,selected_candidate_count,symbol
single_symbol_symbol_momentum_lev4p0_symbolXRPUSDT_lookback16_threshold_bps50,single_symbol,symbol_momentum,4.0,16,50,4,"['2023-07', '2024-06', '2025-08']",-98.7170051536239,3,-92.22601570778053,155.7684278775497,463,2102,8604.0,8.604,-99.70559476759243,1,XRPUSDT
single_symbol_symbol_reversal_lev2p0_symbolADAUSDT_lookback384_threshold_bps100,single_symbol,symbol_reversal,2.0,384,100,4,"['2024-06', '2025-08', '2026-05']",-98.92134002372384,3,-93.35708071676466,3.3702528581252,101,476,964.0,0.964,-99.23814589615114,1,ADAUSDT
single_symbol_symbol_momentum_lev2p0_symbolETHUSDT_lookback96_threshold_bps20,single_symbol,symbol_momentum,2.0,96,20,4,"['2023-07', '2024-06', '2026-05']",-99.19776735808632,3,-87.2656017771637,21.840919629716815,184,1055,2254.0,2.254,-99.2194460401064,1,ETHUSDT
single_symbol_symbol_momentum_lev4p0_symbolETHUSDT_lookback16_threshold_bps50,single_symbol,symbol_momentum,4.0,16,50,4,"['2023-07', '2024-06', '2025-08']",-99.4090910458603,3,-92.37175967424312,78.28175453458081,311,1817,7344.0,7.344,-99.68570618993536,1,ETHUSDT
single_symbol_symbol_momentum_lev4p0_symbolSOLUSDT_lookback16_threshold_bps50,single_symbol,symbol_momentum,4.0,16,50,4,"['2023-07', '2024-06', '2025-08']",-99.43191170725481,3,-93.61968068029113,276.35522063278853,509,2357,9668.0,9.668,-99.86790429524495,1,SOLUSDT
single_symbol_symbol_momentum_lev4p0_symbolAVAXUSDT_lookback96_threshold_bps50,single_symbol,symbol_momentum,4.0,96,50,4,"['2023-07', '2024-06', '2025-08']",-99.45884154084226,3,-99.09756272318103,626.472283450087,166,1011,4144.0,4.144,-99.9588572165698,1,AVAXUSDT
cross_section_long_weak_short_strong_lev2p0_lookback96_threshold_bps200,cross_section,long_weak_short_strong,2.0,96,200,4,"['2023-07', '2024-06', '2026-05']",-99.46287852278947,3,-92.86643835958273,124.23239198116627,1206,5151,5152.0,5.152000000000001,-99.47183602251492,1,
cross_section_long_weak_short_strong_lev2p0_lookback96_threshold_bps0,cross_section,long_weak_short_strong,2.0,96,0,4,"['2023-07', '2024-06', '2026-05']",-99.54049656490818,3,-93.45895004586868,124.14836761818493,1250,5292,5294.0,5.2940000000000005,-99.54815963940497,1,
cross_section_long_weak_short_strong_lev2p0_lookback96_threshold_bps50,cross_section,long_weak_short_strong,2.0,96,50,4,"['2023-07', '2024-06', '2026-05']",-99.54049656490818,3,-93.45895004586868,124.14836761818493,1250,5292,5294.0,5.2940000000000005,-99.54815963940497,1,
cross_section_long_weak_short_strong_lev2p0_lookback96_threshold_bps100,cross_section,long_weak_short_strong,2.0,96,100,4,"['2023-07', '2024-06', '2026-05']",-99.54249170636533,3,-93.46856509716677,124.14836761818493,1250,5289,5290.0,5.290000000000001,-99.55012150816718,1,
