timestamp,symbol,funding_rate
2025-08-01 08:00:00.003000+00:00,BTCUSDT,1.549e-05
2025-08-01 16:00:00+00:00,BTCUSDT,5.681e-05
2025-08-02 00:00:00.004000+00:00,BTCUSDT,4.81e-05
2025-08-02 08:00:00+00:00,BTCUSDT,8.94e-06
2025-08-02 16:00:00+00:00,BTCUSDT,4.437e-05
2025-08-03 00:00:00+00:00,BTCUSDT,5.633e-05
2025-08-03 08:00:00+00:00,BTCUSDT,4.533e-05
2025-08-03 16:00:00.003000+00:00,BTCUSDT,7.504e-05
2025-08-04 00:00:00.004000+00:00,BTCUSDT,4.188e-05
2025-08-04 08:00:00+00:00,BTCUSDT,5.719e-05
2025-08-04 16:00:00.002000+00:00,BTCUSDT,3.912e-05
2025-08-05 00:00:00+00:00,BTCUSDT,7.101e-05
2025-08-05 08:00:00+00:00,BTCUSDT,8.589e-05
2025-08-05 16:00:00+00:00,BTCUSDT,4.784e-05
2025-08-06 00:00:00.005000+00:00,BTCUSDT,5.172e-05
2025-08-06 08:00:00+00:00,BTCUSDT,9.275e-05
2025-08-06 16:00:00+00:00,BTCUSDT,8.288e-05
2025-08-07 00:00:00.003000+00:00,BTCUSDT,4.843e-05
2025-08-07 08:00:00.002000+00:00,BTCUSDT,7.574e-05
2025-08-07 16:00:00.002000+00:00,BTCUSDT,6.275e-05
2025-08-08 00:00:00.002000+00:00,BTCUSDT,2.403e-05
2025-08-08 08:00:00.004000+00:00,BTCUSDT,1.729e-05
2025-08-08 16:00:00+00:00,BTCUSDT,7.973e-05
2025-08-09 00:00:00.005000+00:00,BTCUSDT,8.835e-05
2025-08-09 08:00:00+00:00,BTCUSDT,9.087e-05
2025-08-09 16:00:00.007000+00:00,BTCUSDT,5.151e-05
2025-08-10 00:00:00.003000+00:00,BTCUSDT,9.849e-05
2025-08-10 08:00:00.005000+00:00,BTCUSDT,0.0001
2025-08-10 16:00:00.002000+00:00,BTCUSDT,0.0001
2025-08-11 00:00:00+00:00,BTCUSDT,0.0001
2025-08-11 08:00:00+00:00,BTCUSDT,0.0001
2025-08-11 16:00:00+00:00,BTCUSDT,0.0001
2025-08-12 00:00:00+00:00,BTCUSDT,0.0001
2025-08-12 08:00:00.001000+00:00,BTCUSDT,7.988e-05
2025-08-12 16:00:00.005000+00:00,BTCUSDT,8.543e-05
2025-08-13 00:00:00+00:00,BTCUSDT,7.123e-05
2025-08-13 08:00:00.002000+00:00,BTCUSDT,0.0001
2025-08-13 16:00:00.006000+00:00,BTCUSDT,0.0001
2025-08-14 00:00:00.002000+00:00,BTCUSDT,0.0001
2025-08-14 08:00:00.003000+00:00,BTCUSDT,0.0001
2025-08-14 16:00:00+00:00,BTCUSDT,0.0001
2025-08-15 00:00:00+00:00,BTCUSDT,1.939e-05
2025-08-15 08:00:00+00:00,BTCUSDT,7.99e-05
2025-08-15 16:00:00+00:00,BTCUSDT,3.722e-05
2025-08-16 00:00:00.004000+00:00,BTCUSDT,8.85e-05
2025-08-16 08:00:00+00:00,BTCUSDT,8.268e-05
2025-08-16 16:00:00.002000+00:00,BTCUSDT,9.023e-05
2025-08-17 00:00:00+00:00,BTCUSDT,8.206e-05
2025-08-17 08:00:00.001000+00:00,BTCUSDT,4.68e-05
2025-08-17 16:00:00.007000+00:00,BTCUSDT,1.862e-05
2025-08-18 00:00:00+00:00,BTCUSDT,2.846e-05
2025-08-18 08:00:00.001000+00:00,BTCUSDT,-6.82e-06
2025-08-18 16:00:00.002000+00:00,BTCUSDT,5.296e-05
2025-08-19 00:00:00+00:00,BTCUSDT,7.137e-05
2025-08-19 08:00:00.001000+00:00,BTCUSDT,6.262e-05
2025-08-19 16:00:00+00:00,BTCUSDT,3.167e-05
2025-08-20 00:00:00+00:00,BTCUSDT,4.543e-05
2025-08-20 08:00:00+00:00,BTCUSDT,1.364e-05
2025-08-20 16:00:00+00:00,BTCUSDT,4.936e-05
2025-08-21 00:00:00.006000+00:00,BTCUSDT,1.143e-05
2025-08-21 08:00:00+00:00,BTCUSDT,7.757e-05
2025-08-21 16:00:00.003000+00:00,BTCUSDT,7.414e-05
2025-08-22 00:00:00.010000+00:00,BTCUSDT,7.296e-05
2025-08-22 08:00:00.007000+00:00,BTCUSDT,0.0001
2025-08-22 16:00:00.001000+00:00,BTCUSDT,5.867e-05
2025-08-23 00:00:00.004000+00:00,BTCUSDT,0.0001
2025-08-23 08:00:00.006000+00:00,BTCUSDT,0.0001
2025-08-23 16:00:00+00:00,BTCUSDT,9.711e-05
2025-08-24 00:00:00.001000+00:00,BTCUSDT,0.0001
2025-08-24 08:00:00.002000+00:00,BTCUSDT,0.0001
2025-08-24 16:00:00.001000+00:00,BTCUSDT,0.0001
2025-08-25 00:00:00+00:00,BTCUSDT,0.0001
2025-08-25 08:00:00.002000+00:00,BTCUSDT,0.0001
2025-08-25 16:00:00.002000+00:00,BTCUSDT,8.344e-05
2025-08-26 00:00:00+00:00,BTCUSDT,4.522e-05
2025-08-26 08:00:00+00:00,BTCUSDT,3.9e-05
2025-08-26 16:00:00+00:00,BTCUSDT,0.0001
2025-08-27 00:00:00.003000+00:00,BTCUSDT,1.802e-05
2025-08-27 08:00:00+00:00,BTCUSDT,5.503e-05
2025-08-27 16:00:00.009000+00:00,BTCUSDT,3.496e-05
2025-08-28 00:00:00+00:00,BTCUSDT,5.297e-05
2025-08-28 08:00:00.005000+00:00,BTCUSDT,9.693e-05
2025-08-28 16:00:00.004000+00:00,BTCUSDT,7.512e-05
2025-08-29 00:00:00+00:00,BTCUSDT,4.261e-05
2025-08-29 08:00:00+00:00,BTCUSDT,5.856e-05
2025-08-29 16:00:00.005000+00:00,BTCUSDT,6.44e-06
2025-08-30 00:00:00+00:00,BTCUSDT,7.523e-05
2025-08-30 08:00:00.002000+00:00,BTCUSDT,7.979e-05
