month,symbol,ret_7d,abs_ret_7d,rv_7d,quote_7d,taker_imb_7d,fund_sum_7d,fund_abs_7d,premium_mean_7d,premium_abs_7d,mark_ret_7d,ret_30d,abs_ret_30d,rv_30d,quote_30d,taker_imb_30d,fund_sum_30d,fund_abs_30d,premium_mean_30d,premium_abs_30d,mark_ret_30d,history_days,abs_ret_7d_rank,abs_ret_30d_rank,rv_7d_rank,rv_30d_rank,fund_abs_7d_rank,fund_abs_30d_rank,premium_abs_7d_rank,premium_abs_30d_rank,quote_7d_rank,quote_30d_rank
2025-11,BTCUSDT,-0.011418956165463212,0.011418956165463212,0.05732135013967894,102047795392.29869,-0.01129119466706335,0.00102457,0.00102457,-0.0004398683928571428,0.0004398683928571428,-0.011419868930250644,-0.08367949085845242,0.08367949085845242,0.13122177331997806,552550846800.7479,-0.018919201692738093,0.00290539,0.00290539,-0.0004521758333333334,0.0004521758333333334,-0.08352508533587842,183.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0
2025-11,HYPEUSDT,0.11001313939415094,0.11001313939415094,0.17561741012986834,4827698310.715651,-0.0226251835862874,0.0005321600000000002,0.0005321600000000002,-0.0002843227678571429,0.0002843227678571429,0.10977110107109965,-0.09208983362216532,0.09208983362216532,0.4036952859511012,17225327517.609978,-0.028809004378589072,0.00961377,0.00961377,3.0035409722222214e-05,3.0035409722222214e-05,-0.09220719368119422,154.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5
2025-12,BTCUSDT,0.045449062411656346,0.045449062411656346,0.05955684174672083,80230020191.5817,-0.012814433201563275,0.00034055,0.00034055,-0.0004773149404761905,0.0004773149404761905,0.04552310466073489,-0.19191951256406573,0.19191951256406573,0.1467545111257659,462251677263.14264,-0.020796028451724357,0.00446856,0.00446856,-0.0004414295069444444,0.0004414295069444444,-0.19196260704443302,213.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
2025-12,HYPEUSDT,0.0006264879292741339,0.0006264879292741339,0.16044985602388617,2825077269.90069,-0.01290751321791358,0.00138618,0.00138618,-0.0003055575297619048,0.0003055575297619048,0.00046984386386867777,-0.30814669198198874,0.30814669198198874,0.3420521837266584,13840299355.74828,-0.028178659807345924,0.007925950000000001,0.007925950000000001,-7.900490277777778e-05,7.900490277777778e-05,-0.30873009927205547,184.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2026-01,BTCUSDT,-5.935341306688434e-05,5.935341306688434e-05,0.0435958776701525,60438856260.5836,0.0011958203791115477,0.0012577199999999997,0.0012577199999999997,-0.0004281328869047619,0.0004281328869047619,-0.00013202537932310548,0.01533009555677858,0.01533009555677858,0.12636319809426957,358384599797.5486,-0.005358804643854473,0.00416171,0.00416171,-0.00044485746180555555,0.00044485746180555555,0.015401943317343025,244.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
2026-01,HYPEUSDT,0.02112363145129321,0.02112363145129321,0.0940948717518876,1163225498.9106398,-0.010042349364073938,0.0016159500000000001,0.0016159500000000001,-0.0003988291071428572,0.0003988291071428572,0.021326834402064884,-0.20940828885806997,0.20940828885806997,0.277936060849417,9211554599.67292,-0.027995509785989477,0.007057090000000002,0.007057090000000002,-0.00030803844444444447,0.00030803844444444447,-0.2092816496454804,215.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2026-02,BTCUSDT,-0.12543171361940914,0.12543171361940914,0.07397078782741731,106555492197.4694,-0.03254725848463185,0.0010428,0.0010428,-0.0004446114880952381,0.0004446114880952381,-0.12549895574577064,-0.11840117318541171,0.11840117318541171,0.11622072262417552,371572821778.09015,-0.011141233786451432,0.00435927,0.00435927,-0.0004504840381944444,0.0004504840381944444,-0.11846729455028304,275.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0
2026-02,HYPEUSDT,0.2876390792661942,0.2876390792661942,0.22260169178003616,6485864931.97502,-0.002605870932525544,0.00036329000000000005,0.00036329000000000005,-0.00037798007440476196,0.00037798007440476196,0.28740259571639987,0.2502969070312074,0.2502969070312074,0.30057528083481694,12139980547.488491,-0.012625979121101668,0.004452020000000001,0.004452020000000001,-0.0003403475902777778,0.0003403475902777778,0.2498770304227673,246.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5
2026-03,BTCUSDT,-0.015467526878873624,0.015467526878873624,0.07946159220302072,100531091870.0123,0.0018503714807277575,-1.4850000000000022e-05,1.4850000000000022e-05,-0.0005085870535714286,0.0005085870535714286,-0.015271924864330877,-0.23294135554946022,0.23294135554946022,0.1975893798177979,487739443746.5332,-0.009069571824290655,-0.00037085000000000004,0.00037085000000000004,-0.00050686296875,0.00050686296875,-0.23272106497059641,303.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
2026-03,HYPEUSDT,0.049668642470766154,0.049668642470766154,0.12929256436792422,2185553802.04228,-0.0197117976237891,0.0010959899999999998,0.0010959899999999998,-0.0003836675446428571,0.0003836675446428571,0.0500453133493913,0.028540861347319164,0.028540861347319164,0.37561875357300867,16930858828.852753,-0.021753767046162827,0.00190163,0.00190163,-0.0004045514513888889,0.0004045514513888889,0.029058959486675057,274.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2026-04,BTCUSDT,-0.0352512359983501,0.0352512359983501,0.06177146276081932,81225491921.7883,-0.008086489678621533,-0.00019283,0.00019283,-0.0005071244940476191,0.0005071244940476191,-0.03530316584987833,0.03422879008087465,0.03422879008087465,0.1512377221146389,418148882252.8289,0.010010776361217957,-0.0009930899999999999,0.0009930899999999999,-0.0005101032326388889,0.0005101032326388889,0.03380875493173951,334.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
2026-04,HYPEUSDT,-0.10290935970691072,0.10290935970691072,0.09563924231492302,2207346315.46749,-0.02157549022677204,0.0006433500000000001,0.0006433500000000001,-0.0003885739285714286,0.0003885739285714286,-0.10298139893363768,0.13998875024663718,0.13998875024663718,0.2618442868451852,12264344576.88424,-0.01065932698560157,0.0024440599999999996,0.0024440599999999996,-0.0004121214930555555,0.0004121214930555555,0.14001257164484576,305.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2026-05,BTCUSDT,-0.025296741101309618,0.025296741101309618,0.04242167026682517,62726433196.063,-0.007945360795363747,-0.00050194,0.00050194,-0.000517515625,0.000517515625,-0.025320361265409996,0.11516688861488478,0.11516688861488478,0.10944477514874093,322250315513.20337,0.01472376440927224,-0.0017722699999999998,0.0017722699999999998,-0.0005226796631944444,0.0005226796631944444,0.1151843653716014,364.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
2026-05,HYPEUSDT,-0.03985122195407662,0.03985122195407662,0.07060987446511922,1741707405.9197102,-0.004151413269332846,0.00115396,0.00115396,-0.00038256991071428564,0.00038256991071428564,-0.03973489873224236,0.08530223886443762,0.08530223886443762,0.18083900431912392,9444897482.244648,-0.007770378453853186,0.0029229399999999997,0.0029229399999999997,-0.0004242468333333334,0.0004242468333333334,0.085515393481324,335.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
