month,symbol,rule,lookback,threshold_bps,return_pct,prev1_ret_pct,prev1_abs_rank,prev1_vol_rank,prev2_ret_pct,prev2_abs_rank,prev2_vol_rank,prev3_ret_pct,prev3_abs_rank,prev3_vol_rank
2024-03,AVAXUSDT,symbol_reversal,96,20,234.56228936700305,23.21401737144231,8,3,-14.792838611903115,3,2,81.4501340104387,1,1
2024-04,DOGEUSDT,symbol_momentum,384,20,218.3342921608589,86.1078249112726,1,1,48.64556962025317,1,1,-12.399821905609965,4,5
2024-05,ETHUSDT,symbol_momentum,384,50,88.13164430955676,-17.22658020909179,7,7,8.799911738483512,6,8,46.20551821255046,2,7
2024-06,AVAXUSDT,symbol_momentum,384,20,83.69628905387508,10.433770371278017,6,4,-39.276821881155,1,2,31.412341603146075,4,2
2024-07,LINKUSDT,symbol_reversal,384,100,118.95048668824852,-22.444323737099403,1,3,40.63668982365067,1,3,-31.75057208237987,5,5
2024-08,AVAXUSDT,symbol_momentum,384,20,60.17941264695368,-12.38959178801623,3,1,-18.76919671269266,3,1,10.433770371278017,6,4
2024-09,ADAUSDT,symbol_momentum,384,20,69.33342017147805,-11.405086051888002,6,6,-1.0461852513396375,8,6,-12.276386404293383,4,5
2024-10,LINKUSDT,symbol_reversal,384,100,60.29111392262767,7.644064715506271,6,4,-14.539667753454433,4,4,-10.089041576106005,4,5
2024-11,XRPUSDT,symbol_momentum,384,50,5933.561822805518,-17.019543973941374,2,6,8.022618837250395,4,6,-9.365994236311238,7,3
2024-12,XRPUSDT,symbol_reversal,384,100,597.8761175886285,282.1917808219178,1,3,-17.019543973941374,2,6,8.022618837250395,4,6
2025-01,SOLUSDT,symbol_momentum,384,100,175.07758519164872,-20.725627382797775,4,6,40.66863905325444,7,6,10.579193116835416,4,4
2025-02,DOGEUSDT,symbol_momentum,1536,50,151.43944784456326,3.504518404231871,8,4,-25.427971004226578,1,5,160.04315659679403,3,1
2025-03,ADAUSDT,symbol_momentum,96,20,778.8300334125375,-32.958880881729534,5,1,10.72981548948173,4,3,-21.931608133086876,2,3
2025-04,AVAXUSDT,symbol_reversal,96,100,116.85778049209236,-15.955921877799684,3,4,-35.03528796723883,4,5,-4.071679393567806,6,6
2025-05,DOGEUSDT,symbol_momentum,384,20,138.13466679897877,3.145219266714583,6,5,-17.62029573215963,2,6,-38.7956924010314,2,4
2025-06,ETHUSDT,symbol_reversal,384,50,99.25511697986651,40.80871905454424,1,6,-1.5789444789098939,8,7,-18.79864485356396,1,7
2025-07,XRPUSDT,symbol_momentum,384,100,253.56254993866733,3.146336962539187,5,7,-0.8802736602052441,7,7,4.689965100157778,5,2
2025-08,LINKUSDT,symbol_momentum,96,20,183.9342643479445,26.313825022394745,5,5,-3.827613497373894,4,2,-2.643141083757583,6,4
2025-09,AVAXUSDT,symbol_reversal,1536,20,73.42191743939996,5.452823380840699,8,4,24.76381015894187,6,3,-13.342662741881007,3,1
2025-10,AVAXUSDT,symbol_momentum,384,20,247.2500366377368,28.83451384417257,1,1,5.452823380840699,8,4,24.76381015894187,6,3
2025-11,AVAXUSDT,symbol_momentum,384,100,139.2775771803728,-39.39676720546576,1,3,28.83451384417257,1,1,5.452823380840699,8,4
2025-12,LINKUSDT,symbol_reversal,96,50,95.2543900795518,-24.53215181017897,3,1,-18.97597442286896,4,2,-7.834739346744534,4,3
2026-01,AVAXUSDT,symbol_momentum,1536,20,210.406063235613,-8.428805237315885,4,4,-24.377862384814886,4,5,-39.39676720546576,1,3
2026-02,SOLUSDT,symbol_momentum,96,20,90.10700328812976,-15.518346418843132,4,6,-4.74042357978438,5,3,-28.459558034756494,2,4
2026-03,ETHUSDT,symbol_reversal,1536,50,159.6137214262123,-20.299402899044882,3,6,-17.634285714285713,3,7,1.8949217195625812,7,6
2026-04,AVAXUSDT,symbol_reversal,96,20,134.53568781762982,-3.1426707264027853,3,6,-9.938071365378942,8,7,-17.919168966076924,2,3
2026-05,ADAUSDT,symbol_momentum,384,20,25.642113970043635,1.6102394715111545,7,2,-13.929462059137865,1,2,-4.878048780487809,9,4
